"Rank","Name","GM","W-L","TO"
"1","Temple","32","21-11","293"
"","Central Mich.","32","17-15","293"
"3","St. Mary's (CA)","32","27-5","304"
"4","Cal Poly","30","10-20","308"
"5","Virginia","33","26-7","310"
"6","Notre Dame","32","21-11","311"
"7","Clemson","31","17-14","315"
"8","Butler","31","21-10","317"
"9","Wichita St.","32","24-8","318"
"10","Princeton","28","22-6","320"
"11","Old Dominion","35","22-13","322"
"12","Iowa","31","21-10","323"
"","Davidson","32","20-12","323"
"14","Houston","31","22-9","325"
"15","Duke","33","23-10","326"
"16","Richmond","32","16-16","327"
"17","William & Mary","31","20-11","331"
"","Jacksonville St.","31","8-23","331"
"","Northwestern","32","20-12","331"
"","High Point","31","21-10","331"
"21","Texas","32","20-12","332"
"","Western Ill.","27","10-17","332"
"23","Michigan","34","22-12","333"
"24","UNI","34","22-12","334"
"25","Tulsa","31","20-11","335"
"26","Columbia","31","21-10","337"
"27","North Dakota St.","32","20-12","339"
"28","Alabama A&M","29","11-18","341"
"","Miami (FL)","32","25-7","341"
"30","Saint Joseph's","34","27-7","344"
"31","Drexel","31","6-25","345"
"","St. Bonaventure","30","22-8","345"
"33","Wyoming","31","13-18","346"
"34","Little Rock","33","29-4","347"
"35","Pepperdine","31","18-13","349"
"36","Georgia St.","30","16-14","350"
"","Santa Clara","31","11-20","350"
"38","Wisconsin","32","20-12","351"
"39","Loyola Marymount","31","14-17","352"
"40","Louisville","31","23-8","353"
"","Campbell","30","12-18","353"
"42","Cincinnati","32","22-10","354"
"","Minnesota","31","8-23","354"
"44","Stanford","30","15-15","355"
"","Oregon St.","31","19-12","355"
"46","Illinois","34","15-19","357"
"","Arkansas","32","16-16","357"
"48","New Hampshire","31","19-12","359"
"","Ga. Southern","31","14-17","359"
"","Coastal Caro.","29","18-11","359"
"51","Delaware","30","7-23","360"
"52","Penn St.","32","16-16","361"
"53","Milwaukee","33","20-13","362"
"","Holy Cross","33","14-19","362"
"","North Florida","33","22-11","362"
"56","Fresno St.","34","25-9","364"
"","Marist","30","7-23","364"
"","Eastern Ill.","30","13-17","364"
"59","UNCW","32","25-7","365"
"","Colgate","30","13-17","365"
"","Stony Brook","32","26-6","365"
"62","Jacksonville","32","16-16","366"
"","North Carolina St.","33","16-17","366"
"64","Murray St.","31","17-14","367"
"","Georgia Tech","33","19-14","367"
"","Sacramento St.","31","14-17","367"
"67","Eastern Wash.","32","17-15","368"
"","Creighton","32","18-14","368"
"","Morgan St.","31","9-22","368"
"70","Rhode Island","32","17-15","369"
"71","Texas St.","31","15-16","370"
"","McNeese St.","29","9-20","370"
"","Iowa St.","32","21-11","370"
"","Canisius","33","14-19","370"
"75","North Carolina","34","28-6","371"
"","Oakland","32","21-11","371"
"","Texas Tech","31","19-12","371"
"","Alabama St.","31","14-17","371"
"79","SMU","30","25-5","372"
"","Gonzaga","33","26-7","372"
"","Cornell","28","10-18","372"
"","Boise St.","32","20-12","372"
"83","Toledo","32","17-15","373"
"","Utah St.","31","16-15","373"
"","Akron","34","26-8","373"
"","Penn","28","11-17","373"
"","Oral Roberts","31","14-17","373"
"88","Vanderbilt","32","19-13","374"
"","Yale","28","22-6","374"
"","George Washington","33","23-10","374"
"","Pittsburgh","32","21-11","374"
"","UTRGV","30","8-22","374"
"93","Tennessee Tech","30","19-11","375"
"","Montana St.","31","14-17","375"
"95","Troy","31","9-22","376"
"","Kentucky","34","26-8","376"
"","Brown","28","8-20","376"
"98","Florida","33","19-14","377"
"","SIUE","28","6-22","377"
"100","Villanova","34","29-5","378"
"","Wofford","32","15-17","378"
"","UConn","34","24-10","378"
"","Charleston So.","30","9-21","378"
"","San Francisco","30","15-15","378"
"105","Kent St.","32","19-13","379"
"","Saint Francis (PA)","30","13-17","379"
"107","Ohio","32","21-11","380"
"","James Madison","32","21-11","380"
"","Tennessee","34","15-19","380"
"","Providence","33","23-10","380"
"111","Southern Utah","29","5-24","381"
"","South Dakota St.","32","25-7","381"
"113","Southern U.","34","22-12","382"
"114","BYU","33","23-10","383"
"","Pacific","28","8-20","383"
"116","Arizona St.","32","15-17","384"
"117","Hartford","33","10-23","385"
"","UNCG","32","14-18","385"
"119","Ole Miss","32","20-12","386"
"","Hofstra","33","24-9","386"
"","Missouri","31","10-21","386"
"122","Youngstown St.","32","11-21","387"
"123","South Dakota","32","14-18","388"
"","UC Santa Barbara","31","18-13","388"
"","Syracuse","32","19-13","388"
"","Southern Miss.","29","8-21","388"
"127","VCU","34","24-10","389"
"","Portland","32","12-20","389"
"","Northern Ariz.","30","5-25","389"
"130","Portland St.","31","13-18","390"
"131","Lafayette","30","6-24","391"
"","CSU Bakersfield","32","24-8","391"
"133","Towson","32","20-12","392"
"","Loyola Maryland","30","9-21","392"
"","UCLA","32","15-17","392"
"","Saint Peter's","30","14-16","392"
"137","Col. of Charleston","31","17-14","393"
"","Cal St. Fullerton","30","10-20","393"
"","Oregon","34","28-6","393"
"","Mississippi St.","31","14-17","393"
"141","LSU","33","19-14","394"
"","Montana","32","21-11","394"
"143","Colorado St.","34","18-16","395"
"144","Charlotte","33","14-19","396"
"145","VMI","30","9-21","397"
"","Louisiana Tech","32","23-9","397"
"","Morehead St.","31","19-12","397"
"","Wright St.","35","22-13","397"
"149","SFA","32","27-5","398"
"","UMBC","32","7-25","398"
"","La Salle","31","9-22","398"
"","Arkansas St.","31","11-20","398"
"153","Middle Tenn.","33","24-9","399"
"","Utah Valley","30","12-18","399"
"155","UAB","32","26-6","400"
"","South Carolina St.","34","19-15","400"
"","Sam Houston St.","34","18-16","400"
"","La.-Lafayette","31","17-14","400"
"159","Western Mich.","32","13-19","401"
"","Dartmouth","28","10-18","401"
"","IPFW","33","24-9","401"
"","Texas A&M","34","26-8","401"
"","Nebraska","34","16-18","401"
"","Mt. St. Mary's","33","14-19","401"
"165","NJIT","31","17-14","402"
"","Oklahoma St.","32","12-20","402"
"","Fla. Atlantic","33","8-25","402"
"","Central Conn. St.","29","4-25","402"
"","Southeast Mo. St.","29","5-24","402"
"","Miami (OH)","33","13-20","402"
"","Michigan St.","34","29-5","402"
"172","Southern California","33","21-12","403"
"","Winthrop","32","23-9","403"
"","California","33","23-10","403"
"175","Denver","31","16-15","404"
"","Albany (NY)","32","24-8","404"
"","Omaha","31","18-13","404"
"178","Illinois St.","32","18-14","405"
"","Loyola Chicago","32","15-17","405"
"","Kennesaw St.","31","11-20","405"
"181","Purdue","34","26-8","406"
"","UT Martin","33","19-14","406"
"","FGCU","33","20-13","406"
"184","Northwestern St.","28","8-20","407"
"","Central Ark.","28","7-21","407"
"","George Mason","32","11-21","407"
"","La.-Monroe","33","20-13","407"
"188","Coppin St.","31","9-22","408"
"","Xavier","32","27-5","408"
"","Tennessee St.","30","20-10","408"
"191","Massachusetts","32","14-18","409"
"","Idaho St.","31","16-15","409"
"","Iona","32","22-10","409"
"","Missouri St.","32","13-19","409"
"","Northeastern","33","18-15","409"
"196","A&M-Corpus Christi","32","25-7","410"
"","San Diego","30","9-21","410"
"198","Elon","32","16-16","411"
"199","Norfolk St.","33","17-16","412"
"200","Long Beach St.","34","20-14","413"
"","Memphis","34","19-15","413"
"202","FIU","32","13-19","414"
"","Bucknell","30","17-13","414"
"","Fairleigh Dickinson","32","18-14","414"
"","Valparaiso","32","26-6","414"
"206","Oklahoma","32","25-7","415"
"","Bethune-Cookman","32","14-18","415"
"","UMKC","31","12-19","415"
"209","Lehigh","32","17-15","416"
"","Radford","31","16-15","416"
"211","UTEP","33","19-14","417"
"","UC Irvine","34","25-9","417"
"","Ball St.","32","19-13","417"
"","Mercer","33","19-14","417"
"","Fordham","30","17-13","417"
"216","Dayton","32","25-7","418"
"","Florida St.","32","19-13","418"
"","Stetson","34","12-22","418"
"","Utah","34","26-8","418"
"220","Binghamton","30","8-22","419"
"","Rice","32","12-20","419"
"222","Northern Ill.","33","21-12","420"
"","CSUN","30","10-20","420"
"","Bryant","31","8-23","420"
"225","Fairfield","32","19-13","421"
"","Drake","31","7-24","421"
"227","Rider","33","13-20","422"
"","LIU Brooklyn","31","16-15","422"
"","Detroit","31","16-15","422"
"","Chattanooga","34","29-5","422"
"231","North Dakota","32","17-15","423"
"","Air Force","32","14-18","423"
"","Virginia Tech","33","19-14","423"
"","Indiana St.","32","15-17","423"
"","Arizona","33","25-8","423"
"","Hawaii","32","27-5","423"
"","Green Bay","35","23-12","423"
"238","Nevada","32","19-13","424"
"","Marshall","33","17-16","424"
"","East Carolina","32","12-20","424"
"241","Baylor","33","22-11","425"
"","Maryland","33","25-8","425"
"","Eastern Mich.","33","18-15","425"
"244","Ohio St.","33","20-13","426"
"","San Diego St.","34","25-9","426"
"","Texas Southern","32","18-14","426"
"","Monmouth","34","27-7","426"
"","Alabama","32","18-14","426"
"","Evansville","34","25-9","426"
"","IUPUI","32","13-19","426"
"251","UC Davis","30","11-19","427"
"","Northern Colo.","31","10-21","427"
"253","San Jose St.","31","9-22","428"
"","Wagner","32","22-10","428"
"","Kansas","34","30-4","428"
"","Auburn","31","11-20","428"
"","American","31","12-19","428"
"258","ETSU","34","23-11","429"
"","Alcorn","30","15-15","429"
"260","Navy","33","19-14","430"
"","Bowling Green","34","16-18","430"
"","UNC Asheville","33","22-11","430"
"","Grambling","30","7-23","430"
"","Georgia","32","19-13","430"
"265","Boston College","32","7-25","431"
"266","Hampton","31","21-10","433"
"","UC Riverside","33","14-19","433"
"268","UTSA","32","5-27","435"
"269","Saint Louis","32","11-21","436"
"","Army West Point","32","19-13","436"
"","Jackson St.","35","20-15","436"
"","Furman","33","18-15","436"
"","Harvard","30","14-16","436"
"","Boston U.","32","18-14","436"
"275","Indiana","32","25-7","437"
"276","Belmont","31","20-11","438"
"","Southern Ill.","32","22-10","438"
"278","N.C. A&T","32","10-22","439"
"","Lamar","30","11-19","439"
"","Gardner-Webb","33","17-16","439"
"281","UCF","30","12-18","440"
"","Washington St.","31","9-22","440"
"283","The Citadel","32","10-22","441"
"","Presbyterian","31","11-20","441"
"285","Sacred Heart","30","12-18","442"
"","St. Francis Brooklyn","32","15-17","442"
"","Manhattan","31","13-18","442"
"","Georgetown","33","15-18","442"
"","Liberty","32","13-19","442"
"","Colorado","33","22-11","442"
"291","Rutgers","32","7-25","443"
"","North Texas","32","12-20","443"
"293","N.C. Central","32","13-19","444"
"294","South Carolina","32","24-8","445"
"","Duquesne","32","16-16","445"
"","Washington","32","18-14","445"
"297","Delaware St.","32","7-25","446"
"298","UT Arlington","33","23-10","448"
"299","Mississippi Val.","34","7-27","449"
"","USC Upstate","32","10-22","449"
"301","Western Ky.","34","18-16","450"
"302","Tulane","34","12-22","451"
"","Weber St.","34","26-8","451"
"","Wake Forest","31","11-20","451"
"","Vermont","34","21-13","451"
"306","New Orleans","30","10-20","452"
"307","Ill.-Chicago","30","5-25","453"
"308","Robert Morris","32","10-22","454"
"309","New Mexico St.","33","23-10","455"
"","Samford","33","14-19","455"
"311","Eastern Ky.","31","15-16","457"
"","Seton Hall","33","25-8","457"
"313","Savannah St.","31","16-15","458"
"","DePaul","31","9-22","458"
"","Chicago St.","32","4-28","458"
"","Lipscomb","33","12-21","458"
"317","Cleveland St.","32","9-23","459"
"","Quinnipiac","30","9-21","459"
"319","Kansas St.","33","17-16","460"
"320","Niagara","32","7-25","461"
"321","Appalachian St.","31","9-22","462"
"322","Buffalo","34","20-14","465"
"","Prairie View","31","7-24","465"
"324","UNLV","33","18-15","466"
"","Florida A&M","29","8-21","466"
"326","Seattle","30","14-16","471"
"327","Longwood","33","10-23","474"
"328","Western Caro.","33","16-17","475"
"329","West Virginia","34","26-8","476"
"330","Howard","32","12-20","477"
"331","TCU","33","12-21","478"
"332","South Ala.","33","14-19","483"
"333","Houston Baptist","33","17-16","484"
"334","South Fla.","33","8-25","485"
"","Marquette","33","20-13","485"
"336","New Mexico","32","17-15","489"
"337","Austin Peay","35","18-17","490"
"338","St. John's (NY)","32","8-24","491"
"","Maine","30","8-22","491"
"340","Idaho","33","21-12","494"
"341","Southeastern La.","33","12-21","504"
"342","UMES","32","10-22","512"
"343","Ark.-Pine Bluff","33","8-25","516"
"344","Siena","33","21-12","527"
"345","Nicholls St.","34","11-23","534"
"346","Bradley","32","5-27","548"
"NR","Incarnate Word","29","17-12","368"
"NR","Grand Canyon","32","26-6","390"
"NR","Northern Ky.","30","9-21","406"
"NR","Abilene Christian","31","13-18","418"
"NR","UMass Lowell","29","11-18","455"
