"Rank","Name","GM","W-L","FT","FTA","FT%"
"1","UConn","34","24-10","457","581","78.7"
"2","Villanova","34","29-5","516","664","77.7"
"3","Norfolk St.","33","17-16","616","795","77.5"
"4","St. Bonaventure","30","22-8","515","667","77.2"
"5","Milwaukee","33","20-13","554","718","77.2"
"6","Denver","31","16-15","408","530","77.0"
"7","Oakland","32","21-11","638","831","76.8"
"8","Monmouth","34","27-7","623","813","76.6"
"9","Northwestern St.","28","8-20","477","623","76.6"
"10","High Point","31","21-10","506","662","76.4"
"11","Gonzaga","33","26-7","514","676","76.0"
"12","Davidson","32","20-12","494","650","76.0"
"13","Maryland","33","25-8","506","666","76.0"
"14","George Washington","33","23-10","572","756","75.7"
"15","Pittsburgh","32","21-11","512","679","75.4"
"16","Virginia","33","26-7","426","565","75.4"
"17","UNI","34","22-12","432","574","75.3"
"18","Georgetown","33","15-18","529","704","75.1"
"19","Miami (FL)","32","25-7","527","702","75.1"
"20","Wofford","32","15-17","484","645","75.0"
"21","Ohio","32","21-11","517","689","75.0"
"22","Oral Roberts","31","14-17","498","665","74.9"
"23","Winthrop","32","23-9","566","756","74.9"
"24","Albany (NY)","32","24-8","601","803","74.8"
"25","Hartford","33","10-23","463","619","74.8"
"26","Toledo","32","17-15","489","655","74.7"
"27","Illinois","34","15-19","453","607","74.6"
"28","Texas Tech","31","19-12","546","732","74.6"
"29","NJIT","31","17-14","465","626","74.3"
"30","Omaha","31","18-13","592","797","74.3"
"31","Purdue","34","26-8","516","695","74.2"
"32","Tennessee Tech","30","19-11","556","749","74.2"
"33","Rice","32","12-20","573","773","74.1"
"34","Canisius","33","14-19","551","744","74.1"
"35","Manhattan","31","13-18","485","655","74.0"
"36","New Mexico","32","17-15","578","783","73.8"
"37","Colorado","33","22-11","575","779","73.8"
"38","South Dakota St.","32","25-7","549","744","73.8"
"39","North Carolina","34","28-6","520","705","73.8"
"40","A&M-Corpus Christi","32","25-7","522","708","73.7"
"41","Michigan","34","22-12","404","548","73.7"
"42","Notre Dame","32","21-11","450","612","73.5"
"43","Fairfield","32","19-13","463","630","73.5"
"44","Little Rock","33","29-4","420","572","73.4"
"45","Arkansas St.","31","11-20","562","766","73.4"
"46","Marist","30","7-23","451","615","73.3"
"47","Chattanooga","34","29-5","581","793","73.3"
"48","Jacksonville St.","31","8-23","415","567","73.2"
"49","Nevada","32","19-13","586","801","73.2"
"50","Butler","31","21-10","542","741","73.1"
"51","Loyola Chicago","32","15-17","413","565","73.1"
"52","Xavier","32","27-5","608","832","73.1"
"","Fla. Atlantic","33","8-25","456","624","73.1"
"54","SFA","32","27-5","477","653","73.0"
"55","Michigan St.","34","29-5","444","608","73.0"
"56","Eastern Ky.","31","15-16","511","700","73.0"
"57","Nebraska","34","16-18","470","644","73.0"
"58","Howard","32","12-20","667","914","73.0"
"59","Oklahoma St.","32","12-20","477","654","72.9"
"60","Miami (OH)","33","13-20","471","646","72.9"
"61","The Citadel","32","10-22","514","705","72.9"
"62","Oklahoma","32","25-7","471","647","72.8"
"63","Northern Colo.","31","10-21","529","727","72.8"
"64","Lehigh","32","17-15","411","565","72.7"
"65","Baylor","33","22-11","536","737","72.7"
"66","Providence","33","23-10","541","744","72.7"
"67","Idaho St.","31","16-15","509","700","72.7"
"68","Marquette","33","20-13","555","764","72.6"
"69","Mercer","33","19-14","485","668","72.6"
"70","Loyola Marymount","31","14-17","389","536","72.6"
"71","Tennessee","34","15-19","523","721","72.5"
"72","North Florida","33","22-11","443","611","72.5"
"73","Mississippi St.","31","14-17","398","549","72.5"
"74","Murray St.","31","17-14","444","613","72.4"
"75","Valparaiso","32","26-6","493","681","72.4"
"76","Evansville","34","25-9","610","843","72.4"
"77","Portland","32","12-20","458","633","72.4"
"78","Siena","33","21-12","573","792","72.3"
"79","Washington","32","18-14","624","863","72.3"
"80","Dartmouth","28","10-18","436","603","72.3"
"81","Indiana","32","25-7","449","621","72.3"
"82","Clemson","31","17-14","415","574","72.3"
"83","Utah Valley","30","12-18","454","628","72.3"
"84","VMI","30","9-21","360","498","72.3"
"85","Arizona","33","25-8","613","848","72.3"
"86","Memphis","34","19-15","643","890","72.2"
"87","Drake","31","7-24","406","562","72.2"
"88","Duke","33","23-10","572","792","72.2"
"89","Stetson","34","12-22","523","725","72.1"
"90","Eastern Mich.","33","18-15","616","854","72.1"
"91","Western Ill.","27","10-17","362","502","72.1"
"92","Belmont","31","20-11","454","630","72.1"
"93","New Hampshire","31","19-12","478","664","72.0"
"94","Iowa","31","21-10","456","634","71.9"
"95","Georgia Tech","33","19-14","461","641","71.9"
"96","William & Mary","31","20-11","457","636","71.9"
"97","Central Mich.","32","17-15","431","600","71.8"
"98","Samford","33","14-19","573","798","71.8"
"99","Santa Clara","31","11-20","425","592","71.8"
"100","South Carolina St.","34","19-15","514","716","71.8"
"101","Colorado St.","34","18-16","618","861","71.8"
"102","UAB","32","26-6","457","637","71.7"
"103","Campbell","30","12-18","495","690","71.7"
"104","CSUN","30","10-20","527","735","71.7"
"105","IPFW","33","24-9","473","660","71.7"
"106","Liberty","32","13-19","311","434","71.7"
"107","Northeastern","33","18-15","504","704","71.6"
"108","Houston Baptist","33","17-16","591","826","71.5"
"109","Wyoming","31","13-18","508","710","71.5"
"110","Boston U.","32","18-14","464","649","71.5"
"111","Bucknell","30","17-13","539","754","71.5"
"112","LIU Brooklyn","31","16-15","557","780","71.4"
"113","Wichita St.","32","24-8","507","710","71.4"
"114","Utah","34","26-8","524","734","71.4"
"115","Oregon","34","28-6","580","813","71.3"
"116","Southern Miss.","29","8-21","385","540","71.3"
"117","Saint Joseph's","34","27-7","548","769","71.3"
"118","Iona","32","22-10","451","633","71.2"
"119","Southern Utah","29","5-24","426","598","71.2"
"120","Wagner","32","22-10","448","629","71.2"
"121","Loyola Maryland","30","9-21","465","653","71.2"
"122","Washington St.","31","9-22","393","552","71.2"
"123","Western Mich.","32","13-19","573","805","71.2"
"124","ETSU","34","23-11","525","738","71.1"
"125","Columbia","31","21-10","473","665","71.1"
"126","N.C. A&T","32","10-22","480","675","71.1"
"127","Youngstown St.","32","11-21","440","619","71.1"
"128","Presbyterian","31","11-20","437","615","71.1"
"129","Buffalo","34","20-14","600","845","71.0"
"130","UT Martin","33","19-14","476","671","70.9"
"131","Ole Miss","32","20-12","561","791","70.9"
"132","Idaho","33","21-12","536","756","70.9"
"133","Boise St.","32","20-12","535","755","70.9"
"134","UMES","32","10-22","459","648","70.8"
"135","Missouri","31","10-21","487","688","70.8"
"136","Longwood","33","10-23","450","636","70.8"
"137","Wisconsin","32","20-12","491","694","70.7"
"138","Minnesota","31","8-23","469","663","70.7"
"139","Iowa St.","32","21-11","358","507","70.6"
"140","Kansas","34","30-4","538","762","70.6"
"141","UC Santa Barbara","31","18-13","348","493","70.6"
"142","Princeton","28","22-6","398","564","70.6"
"143","Coppin St.","31","9-22","520","737","70.6"
"144","Vermont","34","21-13","486","689","70.5"
"145","IUPUI","32","13-19","428","607","70.5"
"146","Northern Ariz.","30","5-25","436","619","70.4"
"147","UC Riverside","33","14-19","471","669","70.4"
"148","Cincinnati","32","22-10","454","645","70.4"
"149","SIUE","28","6-22","413","587","70.4"
"150","Furman","33","18-15","522","742","70.4"
"151","Appalachian St.","31","9-22","493","701","70.3"
"152","Houston","31","22-9","457","650","70.3"
"153","Saint Louis","32","11-21","459","653","70.3"
"154","Western Caro.","33","16-17","517","736","70.2"
"155","Georgia","32","19-13","550","783","70.2"
"156","UTSA","32","5-27","505","719","70.2"
"157","Creighton","32","18-14","500","712","70.2"
"158","UNCW","32","25-7","520","741","70.2"
"159","Brown","28","8-20","421","600","70.2"
"160","South Dakota","32","14-18","418","596","70.1"
"161","Kennesaw St.","31","11-20","438","625","70.1"
"162","SMU","30","25-5","409","584","70.0"
"163","Virginia Tech","33","19-14","634","906","70.0"
"164","McNeese St.","29","9-20","440","629","70.0"
"165","Fairleigh Dickinson","32","18-14","451","645","69.9"
"166","Western Ky.","34","18-16","537","768","69.9"
"167","Ga. Southern","31","14-17","509","728","69.9"
"168","Vanderbilt","32","19-13","504","721","69.9"
"169","Massachusetts","32","14-18","485","694","69.9"
"170","North Carolina St.","33","16-17","543","777","69.9"
"171","Detroit","31","16-15","555","795","69.8"
"","La.-Monroe","33","20-13","444","636","69.8"
"173","Charlotte","33","14-19","478","685","69.8"
"174","Sam Houston St.","34","18-16","535","767","69.8"
"175","St. Mary's (CA)","32","27-5","355","509","69.7"
"176","East Carolina","32","12-20","432","620","69.7"
"177","American","31","12-19","328","471","69.6"
"178","Tennessee St.","30","20-10","495","711","69.6"
"179","La.-Lafayette","31","17-14","570","819","69.6"
"180","Penn St.","32","16-16","432","621","69.6"
"181","Army West Point","32","19-13","450","647","69.6"
"182","UT Arlington","33","23-10","527","758","69.5"
"183","Niagara","32","7-25","431","620","69.5"
"184","Lipscomb","33","12-21","483","695","69.5"
"185","Saint Francis (PA)","30","13-17","460","662","69.5"
"186","UNC Asheville","33","22-11","552","795","69.4"
"187","Montana","32","21-11","452","651","69.4"
"188","Wright St.","35","22-13","431","621","69.4"
"189","Arkansas","32","16-16","519","748","69.4"
"190","Akron","34","26-8","443","639","69.3"
"191","Cal St. Fullerton","30","10-20","515","743","69.3"
"192","Marshall","33","17-16","472","681","69.3"
"193","Indiana St.","32","15-17","530","765","69.3"
"194","Holy Cross","33","14-19","446","644","69.3"
"195","Morehead St.","31","19-12","455","657","69.3"
"196","Fresno St.","34","25-9","549","793","69.2"
"197","Mt. St. Mary's","33","14-19","416","601","69.2"
"198","Utah St.","31","16-15","413","597","69.2"
"199","Lafayette","30","6-24","381","551","69.1"
"200","UCLA","32","15-17","450","651","69.1"
"201","Louisville","31","23-8","406","588","69.0"
"202","VCU","34","24-10","472","684","69.0"
"203","Florida St.","32","19-13","497","721","68.9"
"204","Georgia St.","30","16-14","412","598","68.9"
"205","Bethune-Cookman","32","14-18","411","597","68.8"
"206","BYU","33","23-10","506","735","68.8"
"207","Ball St.","32","19-13","422","613","68.8"
"208","Kansas St.","33","17-16","549","798","68.8"
"209","San Diego St.","34","25-9","562","817","68.8"
"210","Sacred Heart","30","12-18","478","695","68.8"
"211","Hofstra","33","24-9","554","806","68.7"
"212","Arizona St.","32","15-17","499","726","68.7"
"213","New Orleans","30","10-20","561","817","68.7"
"214","UCF","30","12-18","425","619","68.7"
"215","Prairie View","31","7-24","432","630","68.6"
"216","Montana St.","31","14-17","410","598","68.6"
"217","Duquesne","32","16-16","429","626","68.5"
"218","Southern Ill.","32","22-10","492","718","68.5"
"219","Northern Ill.","33","21-12","524","765","68.5"
"220","James Madison","32","21-11","467","682","68.5"
"221","Delaware","30","7-23","480","701","68.5"
"222","Drexel","31","6-25","434","634","68.5"
"223","Morgan St.","31","9-22","460","672","68.5"
"224","Long Beach St.","34","20-14","512","748","68.4"
"225","Temple","32","21-11","362","529","68.4"
"226","Alabama A&M","29","11-18","439","642","68.4"
"227","Alabama St.","31","14-17","426","623","68.4"
"228","UC Irvine","34","25-9","480","702","68.4"
"229","Stanford","30","15-15","508","743","68.4"
"230","Kentucky","34","26-8","531","777","68.3"
"231","Mississippi Val.","34","7-27","436","638","68.3"
"232","Air Force","32","14-18","483","707","68.3"
"233","UMBC","32","7-25","515","754","68.3"
"234","Syracuse","32","19-13","435","637","68.3"
"235","Fordham","30","17-13","394","577","68.3"
"236","Kent St.","32","19-13","508","744","68.3"
"237","Rider","33","13-20","435","638","68.2"
"238","South Carolina","32","24-8","587","861","68.2"
"239","UNCG","32","14-18","377","553","68.2"
"240","North Dakota","32","17-15","499","732","68.2"
"241","Eastern Wash.","32","17-15","469","688","68.2"
"242","Binghamton","30","8-22","398","584","68.2"
"243","UNLV","33","18-15","555","815","68.1"
"244","Hawaii","32","27-5","567","833","68.1"
"245","Colgate","30","13-17","332","488","68.0"
"246","Rutgers","32","7-25","435","640","68.0"
"247","DePaul","31","9-22","420","618","68.0"
"248","Central Conn. St.","29","4-25","360","530","67.9"
"249","Towson","32","20-12","550","810","67.9"
"","Old Dominion","35","22-13","440","648","67.9"
"251","North Dakota St.","32","20-12","410","604","67.9"
"252","Cleveland St.","32","9-23","365","538","67.8"
"253","Southern California","33","21-12","500","737","67.8"
"254","Jacksonville","32","16-16","434","640","67.8"
"255","San Francisco","30","15-15","480","708","67.8"
"256","Tulsa","31","20-11","486","717","67.8"
"257","Alcorn","30","15-15","458","676","67.8"
"258","Weber St.","34","26-8","548","810","67.7"
"259","Tulane","34","12-22","420","621","67.6"
"260","Pepperdine","31","18-13","497","735","67.6"
"261","New Mexico St.","33","23-10","467","691","67.6"
"262","Cal Poly","30","10-20","423","626","67.6"
"263","Pacific","28","8-20","388","575","67.5"
"264","Missouri St.","32","13-19","481","713","67.5"
"265","UMKC","31","12-19","447","663","67.4"
"266","South Ala.","33","14-19","503","747","67.3"
"267","Texas St.","31","15-16","443","658","67.3"
"268","Texas A&M","34","26-8","508","755","67.3"
"269","Dayton","32","25-7","491","730","67.3"
"270","Ohio St.","33","20-13","456","679","67.2"
"271","Stony Brook","32","26-6","415","618","67.2"
"272","Sacramento St.","31","14-17","421","627","67.1"
"273","Penn","28","11-17","341","508","67.1"
"274","UTRGV","30","8-22","349","520","67.1"
"275","Oregon St.","31","19-12","451","672","67.1"
"276","Lamar","30","11-19","524","781","67.1"
"277","George Mason","32","11-21","436","650","67.1"
"278","TCU","33","12-21","554","826","67.1"
"279","Chicago St.","32","4-28","384","573","67.0"
"280","West Virginia","34","26-8","633","945","67.0"
"281","Austin Peay","35","18-17","602","899","67.0"
"282","La Salle","31","9-22","348","520","66.9"
"283","Rhode Island","32","17-15","443","662","66.9"
"284","Southern U.","34","22-12","497","743","66.9"
"285","Louisiana Tech","32","23-9","543","812","66.9"
"286","Illinois St.","32","18-14","393","588","66.8"
"287","Coastal Caro.","29","18-11","413","619","66.7"
"288","St. Francis Brooklyn","32","15-17","435","652","66.7"
"289","Robert Morris","32","10-22","422","633","66.7"
"","Seattle","30","14-16","378","567","66.7"
"","Col. of Charleston","31","17-14","378","567","66.7"
"","Northwestern","32","20-12","352","528","66.7"
"293","UTEP","33","19-14","539","809","66.6"
"294","Seton Hall","33","25-8","524","787","66.6"
"295","Texas","32","20-12","482","725","66.5"
"296","LSU","33","19-14","569","856","66.5"
"297","Yale","28","22-6","436","657","66.4"
"298","FIU","32","13-19","428","645","66.4"
"299","N.C. Central","32","13-19","462","697","66.3"
"300","San Diego","30","9-21","370","559","66.2"
"301","Bradley","32","5-27","416","629","66.1"
"302","Elon","32","16-16","396","599","66.1"
"303","Richmond","32","16-16","430","651","66.1"
"304","South Fla.","33","8-25","404","612","66.0"
"305","Wake Forest","31","11-20","514","779","66.0"
"306","San Jose St.","31","9-22","462","701","65.9"
"307","Portland St.","31","13-18","425","645","65.9"
"308","Green Bay","35","23-12","648","984","65.9"
"309","Central Ark.","28","7-21","457","694","65.9"
"310","Saint Peter's","30","14-16","383","582","65.8"
"311","Hampton","31","21-10","529","805","65.7"
"312","Bowling Green","34","16-18","499","760","65.7"
"313","California","33","23-10","512","780","65.6"
"314","Maine","30","8-22","401","611","65.6"
"315","Eastern Ill.","30","13-17","385","588","65.5"
"316","Nicholls St.","34","11-23","512","782","65.5"
"317","Savannah St.","31","16-15","431","659","65.4"
"318","Gardner-Webb","33","17-16","458","701","65.3"
"319","CSU Bakersfield","32","24-8","465","712","65.3"
"320","Cornell","28","10-18","353","542","65.1"
"321","Radford","31","16-15","352","541","65.1"
"322","Boston College","32","7-25","294","452","65.0"
"323","FGCU","33","20-13","466","720","64.7"
"324","Quinnipiac","30","9-21","344","532","64.7"
"325","Grambling","30","7-23","440","683","64.4"
"326","North Texas","32","12-20","539","838","64.3"
"327","Bryant","31","8-23","310","482","64.3"
"328","Florida","33","19-14","524","815","64.3"
"329","Troy","31","9-22","457","713","64.1"
"330","Southeast Mo. St.","29","5-24","392","612","64.1"
"331","Navy","33","19-14","479","748","64.0"
"332","Alabama","32","18-14","446","697","64.0"
"333","UC Davis","30","11-19","356","557","63.9"
"334","USC Upstate","32","10-22","377","592","63.7"
"335","St. John's (NY)","32","8-24","454","714","63.6"
"336","Southeastern La.","33","12-21","441","694","63.5"
"337","Jackson St.","35","20-15","414","654","63.3"
"338","Auburn","31","11-20","472","747","63.2"
"339","Texas Southern","32","18-14","473","752","62.9"
"340","Charleston So.","30","9-21","318","512","62.1"
"341","Ill.-Chicago","30","5-25","492","795","61.9"
"342","Middle Tenn.","33","24-9","425","689","61.7"
"343","Delaware St.","32","7-25","330","536","61.6"
"344","Ark.-Pine Bluff","33","8-25","317","519","61.1"
"345","Harvard","30","14-16","313","525","59.6"
"346","Florida A&M","29","8-21","407","691","58.9"
"NR","Incarnate Word","29","17-12","475","620","76.6"
"NR","Abilene Christian","31","13-18","458","653","70.1"
"NR","Grand Canyon","32","26-6","557","803","69.4"
"NR","UMass Lowell","29","11-18","381","556","68.5"
"NR","Northern Ky.","30","9-21","372","545","68.3"
