"Rank","Name","GM","W-L","3FG","3FGA","3FG%"
"1","Michigan St.","34","29-5","310","715","43.4"
"2","Kansas","34","30-4","283","664","42.6"
"3","Oklahoma","32","25-7","334","784","42.6"
"4","SMU","30","25-5","194","462","42.0"
"5","Indiana","32","25-7","316","762","41.5"
"6","IPFW","33","24-9","347","838","41.4"
"7","St. Mary's (CA)","32","27-5","284","687","41.3"
"8","North Florida","33","22-11","402","977","41.1"
"9","Wofford","32","15-17","270","662","40.8"
"10","Virginia","33","26-7","198","489","40.5"
"11","Arkansas","32","16-16","216","544","39.7"
"12","Oakland","32","21-11","284","718","39.6"
"13","Eastern Ky.","31","15-16","258","653","39.5"
"14","Colorado","33","22-11","250","637","39.2"
"15","Lehigh","32","17-15","237","604","39.2"
"16","Ohio","32","21-11","273","699","39.1"
"17","Akron","34","26-8","400","1027","38.9"
"18","Jacksonville","32","16-16","278","715","38.9"
"19","Vanderbilt","32","19-13","270","695","38.8"
"20","Little Rock","33","29-4","249","641","38.8"
"21","Princeton","28","22-6","271","698","38.8"
"22","Western Ill.","27","10-17","190","490","38.8"
"23","Vermont","34","21-13","234","604","38.7"
"24","Harvard","30","14-16","220","568","38.7"
"25","Duke","33","23-10","306","791","38.7"
"26","Butler","31","21-10","220","569","38.7"
"27","Middle Tenn.","33","24-9","260","673","38.6"
"28","Southern California","33","21-12","260","675","38.5"
"29","Drake","31","7-24","215","559","38.5"
"30","Michigan","34","22-12","326","849","38.4"
"31","Denver","31","16-15","235","613","38.3"
"32","High Point","31","21-10","175","457","38.3"
"33","Arizona","33","25-8","215","562","38.3"
"34","Iowa","31","21-10","255","667","38.2"
"35","Charlotte","33","14-19","266","696","38.2"
"36","Eastern Wash.","32","17-15","329","861","38.2"
"37","Iowa St.","32","21-11","265","697","38.0"
"38","BYU","33","23-10","294","774","38.0"
"39","Idaho","33","21-12","217","572","37.9"
"40","Gonzaga","33","26-7","258","682","37.8"
"41","Oral Roberts","31","14-17","194","514","37.7"
"42","ETSU","34","23-11","271","719","37.7"
"43","St. Bonaventure","30","22-8","247","656","37.7"
"44","Morehead St.","31","19-12","186","496","37.5"
"45","Detroit","31","16-15","244","651","37.5"
"46","UNI","34","22-12","278","742","37.5"
"47","Maryland","33","25-8","252","673","37.4"
"48","Columbia","31","21-10","293","783","37.4"
"49","Yale","28","22-6","181","484","37.4"
"50","Weber St.","34","26-8","287","768","37.4"
"51","Ball St.","32","19-13","275","736","37.4"
"52","Montana St.","31","14-17","297","797","37.3"
"53","Wright St.","35","22-13","256","687","37.3"
"54","Iona","32","22-10","320","860","37.2"
"55","Colgate","30","13-17","267","718","37.2"
"56","Stony Brook","32","26-6","217","584","37.2"
"57","Central Ark.","28","7-21","185","498","37.1"
"58","Northeastern","33","18-15","286","770","37.1"
"59","Southeastern La.","33","12-21","241","649","37.1"
"60","Winthrop","32","23-9","285","768","37.1"
"61","UC Irvine","34","25-9","211","569","37.1"
"62","Kentucky","34","26-8","236","637","37.0"
"63","Wyoming","31","13-18","307","829","37.0"
"64","Oregon St.","31","19-12","211","570","37.0"
"65","UAB","32","26-6","238","643","37.0"
"66","Monmouth","34","27-7","267","722","37.0"
"67","Utah St.","31","16-15","257","695","37.0"
"68","Northern Colo.","31","10-21","203","549","37.0"
"69","William & Mary","31","20-11","241","653","36.9"
"70","Notre Dame","32","21-11","235","637","36.9"
"71","California","33","23-10","233","632","36.9"
"72","Long Beach St.","34","20-14","279","757","36.9"
"73","Purdue","34","26-8","259","703","36.8"
"74","George Washington","33","23-10","229","622","36.8"
"75","Montana","32","21-11","242","658","36.8"
"76","SFA","32","27-5","254","691","36.8"
"77","Portland","32","12-20","289","787","36.7"
"78","UC Santa Barbara","31","18-13","236","643","36.7"
"79","Baylor","33","22-11","204","556","36.7"
"80","Bucknell","30","17-13","223","608","36.7"
"81","Georgia","32","19-13","205","560","36.6"
"82","Liberty","32","13-19","283","774","36.6"
"83","Miami (FL)","32","25-7","219","599","36.6"
"84","Lafayette","30","6-24","245","671","36.5"
"85","Youngstown St.","32","11-21","257","704","36.5"
"86","Tennessee Tech","30","19-11","259","710","36.5"
"87","Rhode Island","32","17-15","213","584","36.5"
"88","Siena","33","21-12","206","565","36.5"
"89","Toledo","32","17-15","263","722","36.4"
"90","Murray St.","31","17-14","226","621","36.4"
"91","Idaho St.","31","16-15","250","687","36.4"
"92","Stetson","34","12-22","282","775","36.4"
"93","Colorado St.","34","18-16","326","896","36.4"
"94","Chattanooga","34","29-5","259","712","36.4"
"95","Southern Utah","29","5-24","200","550","36.4"
"96","Milwaukee","33","20-13","306","842","36.3"
"97","Utah","34","26-8","259","713","36.3"
"98","UNCG","32","14-18","276","760","36.3"
"99","Boston U.","32","18-14","252","694","36.3"
"100","UCLA","32","15-17","200","551","36.3"
"101","New Mexico","32","17-15","196","540","36.3"
"102","Fairleigh Dickinson","32","18-14","230","634","36.3"
"103","FIU","32","13-19","181","499","36.3"
"104","Duquesne","32","16-16","301","830","36.3"
"105","Illinois","34","15-19","277","764","36.3"
"106","Belmont","31","20-11","324","894","36.2"
"107","UMKC","31","12-19","213","588","36.2"
"108","Fairfield","32","19-13","289","798","36.2"
"109","UConn","34","24-10","239","660","36.2"
"110","Valparaiso","32","26-6","260","718","36.2"
"111","Western Ky.","34","18-16","233","644","36.2"
"112","Houston Baptist","33","17-16","196","542","36.2"
"113","Xavier","32","27-5","243","672","36.2"
"114","UTEP","33","19-14","223","618","36.1"
"115","Syracuse","32","19-13","280","776","36.1"
"116","Manhattan","31","13-18","232","643","36.1"
"117","Bowling Green","34","16-18","203","563","36.1"
"118","Lipscomb","33","12-21","331","921","35.9"
"119","James Madison","32","21-11","278","774","35.9"
"120","Saint Francis (PA)","30","13-17","218","607","35.9"
"121","Northwestern","32","20-12","278","776","35.8"
"122","Northwestern St.","28","8-20","207","578","35.8"
"123","Wisconsin","32","20-12","211","590","35.8"
"124","South Dakota St.","32","25-7","239","669","35.7"
"125","Virginia Tech","33","19-14","191","535","35.7"
"126","FGCU","33","20-13","176","493","35.7"
"127","Seattle","30","14-16","182","510","35.7"
"128","Southern Miss.","29","8-21","257","721","35.6"
"129","North Dakota","32","17-15","191","536","35.6"
"130","Richmond","32","16-16","240","674","35.6"
"131","La.-Monroe","33","20-13","220","618","35.6"
"132","VCU","34","24-10","247","694","35.6"
"133","South Dakota","32","14-18","201","565","35.6"
"134","Appalachian St.","31","9-22","256","720","35.6"
"135","Hofstra","33","24-9","279","786","35.5"
"136","UC Davis","30","11-19","164","463","35.4"
"137","Davidson","32","20-12","304","859","35.4"
"138","San Francisco","30","15-15","233","659","35.4"
"139","Central Mich.","32","17-15","309","874","35.4"
"140","Norfolk St.","33","17-16","240","679","35.3"
"141","Hartford","33","10-23","319","903","35.3"
"142","Kennesaw St.","31","11-20","179","507","35.3"
"143","Evansville","34","25-9","158","448","35.3"
"144","Southern U.","34","22-12","208","590","35.3"
"145","Seton Hall","33","25-8","202","573","35.3"
"146","Brown","28","8-20","225","639","35.2"
"147","Houston","31","22-9","213","605","35.2"
"148","UC Riverside","33","14-19","252","716","35.2"
"149","South Carolina","32","24-8","202","574","35.2"
"150","Creighton","32","18-14","262","745","35.2"
"151","Clemson","31","17-14","238","677","35.2"
"152","Northern Ill.","33","21-12","234","666","35.1"
"153","Utah Valley","30","12-18","256","729","35.1"
"154","Texas A&M","34","26-8","261","745","35.0"
"155","Green Bay","35","23-12","246","703","35.0"
"156","Eastern Ill.","30","13-17","232","663","35.0"
"157","Georgia Tech","33","19-14","192","549","35.0"
"158","Cal Poly","30","10-20","238","681","34.9"
"159","Oregon","34","28-6","234","670","34.9"
"160","Longwood","33","10-23","227","650","34.9"
"161","Mercer","33","19-14","206","590","34.9"
"162","North Carolina St.","33","16-17","207","595","34.8"
"163","N.C. Central","32","13-19","200","575","34.8"
"164","Pittsburgh","32","21-11","201","578","34.8"
"165","Austin Peay","35","18-17","219","630","34.8"
"166","Washington St.","31","9-22","184","530","34.7"
"167","Louisville","31","23-8","186","536","34.7"
"168","Nebraska","34","16-18","220","634","34.7"
"169","Loyola Chicago","32","15-17","196","565","34.7"
"170","Florida St.","32","19-13","214","617","34.7"
"171","Dayton","32","25-7","215","620","34.7"
"172","NJIT","31","17-14","266","768","34.6"
"173","Western Mich.","32","13-19","197","569","34.6"
"174","Charleston So.","30","9-21","280","810","34.6"
"175","Col. of Charleston","31","17-14","206","596","34.6"
"176","Pepperdine","31","18-13","154","446","34.5"
"177","Cincinnati","32","22-10","242","701","34.5"
"178","Coastal Caro.","29","18-11","214","620","34.5"
"179","Fordham","30","17-13","232","673","34.5"
"180","Texas Tech","31","19-12","178","517","34.4"
"181","Santa Clara","31","11-20","232","674","34.4"
"182","CSU Bakersfield","32","24-8","174","506","34.4"
"183","Villanova","34","29-5","291","847","34.4"
"184","Radford","31","16-15","226","658","34.3"
"185","UT Martin","33","19-14","256","746","34.3"
"186","Southern Ill.","32","22-10","212","618","34.3"
"187","Alabama","32","18-14","251","732","34.3"
"188","DePaul","31","9-22","168","490","34.3"
"189","Jacksonville St.","31","8-23","243","709","34.3"
"190","Central Conn. St.","29","4-25","164","479","34.2"
"191","Elon","32","16-16","303","886","34.2"
"192","Fresno St.","34","25-9","212","620","34.2"
"193","Georgia St.","30","16-14","149","436","34.2"
"194","Marist","30","7-23","248","726","34.2"
"195","South Carolina St.","34","19-15","201","589","34.1"
"196","Gardner-Webb","33","17-16","276","809","34.1"
"197","Cornell","28","10-18","233","683","34.1"
"198","Texas Southern","32","18-14","219","642","34.1"
"199","Sam Houston St.","34","18-16","264","774","34.1"
"200","Canisius","33","14-19","285","836","34.1"
"","American","31","12-19","195","572","34.1"
"202","Quinnipiac","30","9-21","229","672","34.1"
"203","Dartmouth","28","10-18","156","458","34.1"
"204","Auburn","31","11-20","272","799","34.0"
"205","USC Upstate","32","10-22","218","641","34.0"
"206","La Salle","31","9-22","259","762","34.0"
"207","Ohio St.","33","20-13","208","612","34.0"
"208","North Dakota St.","32","20-12","210","618","34.0"
"209","Temple","32","21-11","251","739","34.0"
"210","Loyola Marymount","31","14-17","227","669","33.9"
"211","East Carolina","32","12-20","232","684","33.9"
"212","Marquette","33","20-13","194","572","33.9"
"213","Georgetown","33","15-18","261","770","33.9"
"214","Air Force","32","14-18","202","596","33.9"
"215","Texas","32","20-12","223","658","33.9"
"216","Maine","30","8-22","228","673","33.9"
"217","Northern Ariz.","30","5-25","220","650","33.8"
"218","A&M-Corpus Christi","32","25-7","206","609","33.8"
"219","Ole Miss","32","20-12","252","745","33.8"
"220","Sacramento St.","31","14-17","209","618","33.8"
"221","Ga. Southern","31","14-17","282","834","33.8"
"222","Fla. Atlantic","33","8-25","229","678","33.8"
"223","Buffalo","34","20-14","253","750","33.7"
"224","Illinois St.","32","18-14","238","706","33.7"
"225","Marshall","33","17-16","332","985","33.7"
"226","New Orleans","30","10-20","162","481","33.7"
"227","Army West Point","32","19-13","284","844","33.6"
"228","UNCW","32","25-7","219","651","33.6"
"229","Arizona St.","32","15-17","254","756","33.6"
"230","VMI","30","9-21","263","783","33.6"
"231","TCU","33","12-21","187","558","33.5"
"232","UTRGV","30","8-22","212","633","33.5"
"233","Mississippi St.","31","14-17","225","674","33.4"
"234","Washington","32","18-14","240","720","33.3"
"","IUPUI","32","13-19","183","549","33.3"
"236","Coppin St.","31","9-22","238","715","33.3"
"237","New Mexico St.","33","23-10","173","520","33.3"
"238","McNeese St.","29","9-20","205","617","33.2"
"239","Campbell","30","12-18","224","675","33.2"
"240","Cal St. Fullerton","30","10-20","193","582","33.2"
"241","UNLV","33","18-15","252","760","33.2"
"242","Omaha","31","18-13","187","564","33.2"
"243","Western Caro.","33","16-17","234","706","33.1"
"244","Louisiana Tech","32","23-9","226","682","33.1"
"245","UMBC","32","7-25","216","652","33.1"
"246","Boise St.","32","20-12","261","788","33.1"
"247","Alabama St.","31","14-17","215","650","33.1"
"248","Massachusetts","32","14-18","234","709","33.0"
"249","Pacific","28","8-20","190","576","33.0"
"250","North Texas","32","12-20","187","567","33.0"
"251","Wichita St.","32","24-8","234","710","33.0"
"252","Delaware St.","32","7-25","230","698","33.0"
"253","UMES","32","10-22","201","610","33.0"
"254","Tennessee St.","30","20-10","163","495","32.9"
"255","Wagner","32","22-10","190","577","32.9"
"256","Tulsa","31","20-11","216","656","32.9"
"257","Drexel","31","6-25","170","517","32.9"
"258","West Virginia","34","26-8","206","627","32.9"
"259","UT Arlington","33","23-10","294","896","32.8"
"260","Kent St.","32","19-13","185","564","32.8"
"261","Oklahoma St.","32","12-20","205","625","32.8"
"262","Saint Louis","32","11-21","199","607","32.8"
"263","LSU","33","19-14","203","620","32.7"
"264","Holy Cross","33","14-19","236","721","32.7"
"265","Tennessee","34","15-19","251","767","32.7"
"266","Saint Joseph's","34","27-7","238","728","32.7"
"267","Saint Peter's","30","14-16","183","560","32.7"
"268","Hawaii","32","27-5","230","704","32.7"
"269","St. John's (NY)","32","8-24","206","632","32.6"
"270","New Hampshire","31","19-12","201","617","32.6"
"271","Delaware","30","7-23","168","517","32.5"
"272","Texas St.","31","15-16","149","459","32.5"
"273","Memphis","34","19-15","206","635","32.4"
"274","UNC Asheville","33","22-11","190","586","32.4"
"275","Cleveland St.","32","9-23","174","537","32.4"
"276","Boston College","32","7-25","231","713","32.4"
"277","The Citadel","32","10-22","363","1123","32.3"
"278","Samford","33","14-19","177","548","32.3"
"279","Furman","33","18-15","237","734","32.3"
"280","South Ala.","33","14-19","213","660","32.3"
"281","Bryant","31","8-23","198","615","32.2"
"282","Towson","32","20-12","178","553","32.2"
"283","Portland St.","31","13-18","167","519","32.2"
"284","Providence","33","23-10","234","729","32.1"
"285","Albany (NY)","32","24-8","180","561","32.1"
"286","Rutgers","32","7-25","161","503","32.0"
"287","Stanford","30","15-15","172","538","32.0"
"288","Lamar","30","11-19","197","617","31.9"
"","San Diego St.","34","25-9","197","617","31.9"
"290","Rice","32","12-20","228","716","31.8"
"291","UTSA","32","5-27","220","691","31.8"
"292","UCF","30","12-18","207","651","31.8"
"293","Penn St.","32","16-16","211","665","31.7"
"294","Mt. St. Mary's","33","14-19","226","713","31.7"
"295","Bethune-Cookman","32","14-18","249","787","31.6"
"296","Rider","33","13-20","204","646","31.6"
"","Arkansas St.","31","11-20","180","570","31.6"
"","Missouri St.","32","13-19","168","532","31.6"
"299","Wake Forest","31","11-20","195","618","31.6"
"300","Savannah St.","31","16-15","196","623","31.5"
"301","N.C. A&T","32","10-22","199","633","31.4"
"302","North Carolina","34","28-6","183","583","31.4"
"303","Florida","33","19-14","229","734","31.2"
"304","Eastern Mich.","33","18-15","187","601","31.1"
"305","Sacred Heart","30","12-18","169","544","31.1"
"306","Jackson St.","35","20-15","237","765","31.0"
"307","Alcorn","30","15-15","175","565","31.0"
"","Missouri","31","10-21","175","565","31.0"
"309","Minnesota","31","8-23","191","617","31.0"
"310","St. Francis Brooklyn","32","15-17","240","776","30.9"
"311","Troy","31","9-22","208","674","30.9"
"312","Hampton","31","21-10","203","659","30.8"
"313","San Jose St.","31","9-22","212","689","30.8"
"314","Miami (OH)","33","13-20","178","582","30.6"
"315","La.-Lafayette","31","17-14","200","654","30.6"
"316","Nicholls St.","34","11-23","212","694","30.5"
"317","Penn","28","11-17","200","656","30.5"
"318","SIUE","28","6-22","158","519","30.4"
"319","Chicago St.","32","4-28","228","750","30.4"
"320","Loyola Maryland","30","9-21","161","530","30.4"
"321","Ark.-Pine Bluff","33","8-25","202","666","30.3"
"322","Indiana St.","32","15-17","210","693","30.3"
"323","Florida A&M","29","8-21","168","555","30.3"
"324","Ill.-Chicago","30","5-25","133","440","30.2"
"325","Old Dominion","35","22-13","143","475","30.1"
"326","Morgan St.","31","9-22","161","535","30.1"
"327","Navy","33","19-14","141","469","30.1"
"328","Tulane","34","12-22","216","719","30.0"
"329","Southeast Mo. St.","29","5-24","154","513","30.0"
"330","Kansas St.","33","17-16","175","583","30.0"
"331","Mississippi Val.","34","7-27","172","578","29.8"
"332","LIU Brooklyn","31","16-15","179","603","29.7"
"333","CSUN","30","10-20","126","425","29.6"
"334","Howard","32","12-20","144","486","29.6"
"335","Presbyterian","31","11-20","148","502","29.5"
"336","George Mason","32","11-21","172","589","29.2"
"337","Alabama A&M","29","11-18","175","600","29.2"
"338","Nevada","32","19-13","163","567","28.7"
"339","South Fla.","33","8-25","133","465","28.6"
"340","Binghamton","30","8-22","171","599","28.5"
"341","San Diego","30","9-21","192","673","28.5"
"342","Niagara","32","7-25","166","589","28.2"
"343","Bradley","32","5-27","165","590","28.0"
"344","Robert Morris","32","10-22","178","645","27.6"
"345","Grambling","30","7-23","147","534","27.5"
"346","Prairie View","31","7-24","127","467","27.2"
"NR","Incarnate Word","29","17-12","234","621","37.7"
"NR","Grand Canyon","32","26-6","200","541","37.0"
"NR","Abilene Christian","31","13-18","209","570","36.7"
"NR","UMass Lowell","29","11-18","240","659","36.4"
"NR","Northern Ky.","30","9-21","234","656","35.7"
