"Rank","Name","GM","W-L","3FG","3FGA"
"1","North Florida","33","22-11","402","977"
"2","Akron","34","26-8","400","1027"
"3","The Citadel","32","10-22","363","1123"
"4","IPFW","33","24-9","347","838"
"5","Oklahoma","32","25-7","334","784"
"6","Marshall","33","17-16","332","985"
"7","Lipscomb","33","12-21","331","921"
"8","Eastern Wash.","32","17-15","329","861"
"9","Colorado St.","34","18-16","326","896"
"","Michigan","34","22-12","326","849"
"11","Belmont","31","20-11","324","894"
"12","Iona","32","22-10","320","860"
"13","Hartford","33","10-23","319","903"
"14","Indiana","32","25-7","316","762"
"15","Michigan St.","34","29-5","310","715"
"16","Central Mich.","32","17-15","309","874"
"17","Wyoming","31","13-18","307","829"
"18","Milwaukee","33","20-13","306","842"
"","Duke","33","23-10","306","791"
"20","Davidson","32","20-12","304","859"
"21","Elon","32","16-16","303","886"
"22","Duquesne","32","16-16","301","830"
"23","Montana St.","31","14-17","297","797"
"24","UT Arlington","33","23-10","294","896"
"","BYU","33","23-10","294","774"
"26","Columbia","31","21-10","293","783"
"27","Villanova","34","29-5","291","847"
"28","Fairfield","32","19-13","289","798"
"","Portland","32","12-20","289","787"
"30","Weber St.","34","26-8","287","768"
"31","Northeastern","33","18-15","286","770"
"32","Winthrop","32","23-9","285","768"
"","Canisius","33","14-19","285","836"
"34","Army West Point","32","19-13","284","844"
"","Oakland","32","21-11","284","718"
"","St. Mary's (CA)","32","27-5","284","687"
"37","Kansas","34","30-4","283","664"
"","Liberty","32","13-19","283","774"
"39","Stetson","34","12-22","282","775"
"","Ga. Southern","31","14-17","282","834"
"41","Syracuse","32","19-13","280","776"
"","Charleston So.","30","9-21","280","810"
"43","Hofstra","33","24-9","279","786"
"","Long Beach St.","34","20-14","279","757"
"45","Northwestern","32","20-12","278","776"
"","UNI","34","22-12","278","742"
"","Jacksonville","32","16-16","278","715"
"","James Madison","32","21-11","278","774"
"49","Illinois","34","15-19","277","764"
"50","UNCG","32","14-18","276","760"
"","Gardner-Webb","33","17-16","276","809"
"52","Ball St.","32","19-13","275","736"
"53","Ohio","32","21-11","273","699"
"54","Auburn","31","11-20","272","799"
"55","Princeton","28","22-6","271","698"
"","ETSU","34","23-11","271","719"
"57","Vanderbilt","32","19-13","270","695"
"","Wofford","32","15-17","270","662"
"59","Monmouth","34","27-7","267","722"
"","Colgate","30","13-17","267","718"
"61","NJIT","31","17-14","266","768"
"","Charlotte","33","14-19","266","696"
"63","Iowa St.","32","21-11","265","697"
"64","Sam Houston St.","34","18-16","264","774"
"65","VMI","30","9-21","263","783"
"","Toledo","32","17-15","263","722"
"67","Creighton","32","18-14","262","745"
"68","Texas A&M","34","26-8","261","745"
"","Georgetown","33","15-18","261","770"
"","Boise St.","32","20-12","261","788"
"71","Southern California","33","21-12","260","675"
"","Middle Tenn.","33","24-9","260","673"
"","Valparaiso","32","26-6","260","718"
"74","Tennessee Tech","30","19-11","259","710"
"","Chattanooga","34","29-5","259","712"
"","Purdue","34","26-8","259","703"
"","La Salle","31","9-22","259","762"
"","Utah","34","26-8","259","713"
"79","Gonzaga","33","26-7","258","682"
"","Eastern Ky.","31","15-16","258","653"
"81","Southern Miss.","29","8-21","257","721"
"","Youngstown St.","32","11-21","257","704"
"","Utah St.","31","16-15","257","695"
"84","UT Martin","33","19-14","256","746"
"","Appalachian St.","31","9-22","256","720"
"","Utah Valley","30","12-18","256","729"
"","Wright St.","35","22-13","256","687"
"88","Iowa","31","21-10","255","667"
"89","Arizona St.","32","15-17","254","756"
"","SFA","32","27-5","254","691"
"91","Buffalo","34","20-14","253","750"
"92","Maryland","33","25-8","252","673"
"","Ole Miss","32","20-12","252","745"
"","UC Riverside","33","14-19","252","716"
"","Boston U.","32","18-14","252","694"
"","UNLV","33","18-15","252","760"
"97","Temple","32","21-11","251","739"
"","Alabama","32","18-14","251","732"
"","Tennessee","34","15-19","251","767"
"100","Colorado","33","22-11","250","637"
"","Idaho St.","31","16-15","250","687"
"102","Bethune-Cookman","32","14-18","249","787"
"","Little Rock","33","29-4","249","641"
"104","Marist","30","7-23","248","726"
"105","VCU","34","24-10","247","694"
"","St. Bonaventure","30","22-8","247","656"
"107","Green Bay","35","23-12","246","703"
"108","Lafayette","30","6-24","245","671"
"109","Detroit","31","16-15","244","651"
"110","Jacksonville St.","31","8-23","243","709"
"","Xavier","32","27-5","243","672"
"112","Cincinnati","32","22-10","242","701"
"","Montana","32","21-11","242","658"
"114","William & Mary","31","20-11","241","653"
"","Southeastern La.","33","12-21","241","649"
"116","Richmond","32","16-16","240","674"
"","St. Francis Brooklyn","32","15-17","240","776"
"","Norfolk St.","33","17-16","240","679"
"","Washington","32","18-14","240","720"
"120","UConn","34","24-10","239","660"
"","South Dakota St.","32","25-7","239","669"
"122","Saint Joseph's","34","27-7","238","728"
"","Illinois St.","32","18-14","238","706"
"","Coppin St.","31","9-22","238","715"
"","Cal Poly","30","10-20","238","681"
"","Clemson","31","17-14","238","677"
"","UAB","32","26-6","238","643"
"128","Jackson St.","35","20-15","237","765"
"","Furman","33","18-15","237","734"
"","Lehigh","32","17-15","237","604"
"131","Holy Cross","33","14-19","236","721"
"","UC Santa Barbara","31","18-13","236","643"
"","Kentucky","34","26-8","236","637"
"134","Denver","31","16-15","235","613"
"","Notre Dame","32","21-11","235","637"
"136","Vermont","34","21-13","234","604"
"","Western Caro.","33","16-17","234","706"
"","Wichita St.","32","24-8","234","710"
"","Providence","33","23-10","234","729"
"","Northern Ill.","33","21-12","234","666"
"","Oregon","34","28-6","234","670"
"","Massachusetts","32","14-18","234","709"
"143","San Francisco","30","15-15","233","659"
"","Cornell","28","10-18","233","683"
"","California","33","23-10","233","632"
"","Western Ky.","34","18-16","233","644"
"147","Santa Clara","31","11-20","232","674"
"","Manhattan","31","13-18","232","643"
"","Fordham","30","17-13","232","673"
"","Eastern Ill.","30","13-17","232","663"
"","East Carolina","32","12-20","232","684"
"152","Boston College","32","7-25","231","713"
"153","Delaware St.","32","7-25","230","698"
"","Hawaii","32","27-5","230","704"
"","Fairleigh Dickinson","32","18-14","230","634"
"156","Quinnipiac","30","9-21","229","672"
"","George Washington","33","23-10","229","622"
"","Florida","33","19-14","229","734"
"","Fla. Atlantic","33","8-25","229","678"
"160","Rice","32","12-20","228","716"
"","Chicago St.","32","4-28","228","750"
"","Maine","30","8-22","228","673"
"163","Loyola Marymount","31","14-17","227","669"
"","Longwood","33","10-23","227","650"
"165","Radford","31","16-15","226","658"
"","Murray St.","31","17-14","226","621"
"","Mt. St. Mary's","33","14-19","226","713"
"","Louisiana Tech","32","23-9","226","682"
"169","Brown","28","8-20","225","639"
"","Mississippi St.","31","14-17","225","674"
"171","Campbell","30","12-18","224","675"
"172","Texas","32","20-12","223","658"
"","Bucknell","30","17-13","223","608"
"","UTEP","33","19-14","223","618"
"175","UTSA","32","5-27","220","691"
"","Nebraska","34","16-18","220","634"
"","Harvard","30","14-16","220","568"
"","Northern Ariz.","30","5-25","220","650"
"","Butler","31","21-10","220","569"
"","La.-Monroe","33","20-13","220","618"
"181","Texas Southern","32","18-14","219","642"
"","Austin Peay","35","18-17","219","630"
"","UNCW","32","25-7","219","651"
"","Miami (FL)","32","25-7","219","599"
"185","USC Upstate","32","10-22","218","641"
"","Saint Francis (PA)","30","13-17","218","607"
"187","Idaho","33","21-12","217","572"
"","Stony Brook","32","26-6","217","584"
"189","Tulane","34","12-22","216","719"
"","Arkansas","32","16-16","216","544"
"","UMBC","32","7-25","216","652"
"","Tulsa","31","20-11","216","656"
"193","Alabama St.","31","14-17","215","650"
"","Drake","31","7-24","215","559"
"","Dayton","32","25-7","215","620"
"","Arizona","33","25-8","215","562"
"197","Florida St.","32","19-13","214","617"
"","Coastal Caro.","29","18-11","214","620"
"199","Rhode Island","32","17-15","213","584"
"","Houston","31","22-9","213","605"
"","UMKC","31","12-19","213","588"
"","South Ala.","33","14-19","213","660"
"203","San Jose St.","31","9-22","212","689"
"","Southern Ill.","32","22-10","212","618"
"","Fresno St.","34","25-9","212","620"
"","UTRGV","30","8-22","212","633"
"","Nicholls St.","34","11-23","212","694"
"208","Wisconsin","32","20-12","211","590"
"","UC Irvine","34","25-9","211","569"
"","Penn St.","32","16-16","211","665"
"","Oregon St.","31","19-12","211","570"
"212","Indiana St.","32","15-17","210","693"
"","North Dakota St.","32","20-12","210","618"
"214","Sacramento St.","31","14-17","209","618"
"215","Southern U.","34","22-12","208","590"
"","Ohio St.","33","20-13","208","612"
"","Troy","31","9-22","208","674"
"218","UCF","30","12-18","207","651"
"","Northwestern St.","28","8-20","207","578"
"","North Carolina St.","33","16-17","207","595"
"221","Memphis","34","19-15","206","635"
"","A&M-Corpus Christi","32","25-7","206","609"
"","West Virginia","34","26-8","206","627"
"","Siena","33","21-12","206","565"
"","Col. of Charleston","31","17-14","206","596"
"","Mercer","33","19-14","206","590"
"","St. John's (NY)","32","8-24","206","632"
"228","McNeese St.","29","9-20","205","617"
"","Oklahoma St.","32","12-20","205","625"
"","Georgia","32","19-13","205","560"
"231","Baylor","33","22-11","204","556"
"","Rider","33","13-20","204","646"
"233","Hampton","31","21-10","203","659"
"","LSU","33","19-14","203","620"
"","Bowling Green","34","16-18","203","563"
"","Northern Colo.","31","10-21","203","549"
"237","Air Force","32","14-18","202","596"
"","Seton Hall","33","25-8","202","573"
"","Ark.-Pine Bluff","33","8-25","202","666"
"","South Carolina","32","24-8","202","574"
"241","South Dakota","32","14-18","201","565"
"","South Carolina St.","34","19-15","201","589"
"","UMES","32","10-22","201","610"
"","New Hampshire","31","19-12","201","617"
"","Pittsburgh","32","21-11","201","578"
"246","Southern Utah","29","5-24","200","550"
"","UCLA","32","15-17","200","551"
"","Penn","28","11-17","200","656"
"","N.C. Central","32","13-19","200","575"
"","La.-Lafayette","31","17-14","200","654"
"251","N.C. A&T","32","10-22","199","633"
"","Saint Louis","32","11-21","199","607"
"253","Virginia","33","26-7","198","489"
"","Bryant","31","8-23","198","615"
"255","Lamar","30","11-19","197","617"
"","San Diego St.","34","25-9","197","617"
"","Western Mich.","32","13-19","197","569"
"258","Loyola Chicago","32","15-17","196","565"
"","New Mexico","32","17-15","196","540"
"","Houston Baptist","33","17-16","196","542"
"","Savannah St.","31","16-15","196","623"
"262","Wake Forest","31","11-20","195","618"
"","American","31","12-19","195","572"
"264","SMU","30","25-5","194","462"
"","Oral Roberts","31","14-17","194","514"
"","Marquette","33","20-13","194","572"
"267","Cal St. Fullerton","30","10-20","193","582"
"268","Georgia Tech","33","19-14","192","549"
"","San Diego","30","9-21","192","673"
"270","North Dakota","32","17-15","191","536"
"","Virginia Tech","33","19-14","191","535"
"","Minnesota","31","8-23","191","617"
"273","Western Ill.","27","10-17","190","490"
"","UNC Asheville","33","22-11","190","586"
"","Pacific","28","8-20","190","576"
"","Wagner","32","22-10","190","577"
"277","Omaha","31","18-13","187","564"
"","TCU","33","12-21","187","558"
"","Eastern Mich.","33","18-15","187","601"
"","North Texas","32","12-20","187","567"
"281","Morehead St.","31","19-12","186","496"
"","Louisville","31","23-8","186","536"
"283","Central Ark.","28","7-21","185","498"
"","Kent St.","32","19-13","185","564"
"285","Washington St.","31","9-22","184","530"
"286","Saint Peter's","30","14-16","183","560"
"","IUPUI","32","13-19","183","549"
"","North Carolina","34","28-6","183","583"
"289","Seattle","30","14-16","182","510"
"290","FIU","32","13-19","181","499"
"","Yale","28","22-6","181","484"
"292","Albany (NY)","32","24-8","180","561"
"","Arkansas St.","31","11-20","180","570"
"294","Kennesaw St.","31","11-20","179","507"
"","LIU Brooklyn","31","16-15","179","603"
"296","Robert Morris","32","10-22","178","645"
"","Miami (OH)","33","13-20","178","582"
"","Texas Tech","31","19-12","178","517"
"","Towson","32","20-12","178","553"
"300","Samford","33","14-19","177","548"
"301","FGCU","33","20-13","176","493"
"302","Kansas St.","33","17-16","175","583"
"","High Point","31","21-10","175","457"
"","Missouri","31","10-21","175","565"
"","Alabama A&M","29","11-18","175","600"
"","Alcorn","30","15-15","175","565"
"307","Cleveland St.","32","9-23","174","537"
"","CSU Bakersfield","32","24-8","174","506"
"309","New Mexico St.","33","23-10","173","520"
"310","Stanford","30","15-15","172","538"
"","Mississippi Val.","34","7-27","172","578"
"","George Mason","32","11-21","172","589"
"313","Binghamton","30","8-22","171","599"
"314","Drexel","31","6-25","170","517"
"315","Sacred Heart","30","12-18","169","544"
"316","DePaul","31","9-22","168","490"
"","Delaware","30","7-23","168","517"
"","Florida A&M","29","8-21","168","555"
"","Missouri St.","32","13-19","168","532"
"320","Portland St.","31","13-18","167","519"
"321","Niagara","32","7-25","166","589"
"322","Bradley","32","5-27","165","590"
"323","Central Conn. St.","29","4-25","164","479"
"","UC Davis","30","11-19","164","463"
"325","Nevada","32","19-13","163","567"
"","Tennessee St.","30","20-10","163","495"
"327","New Orleans","30","10-20","162","481"
"328","Morgan St.","31","9-22","161","535"
"","Rutgers","32","7-25","161","503"
"","Loyola Maryland","30","9-21","161","530"
"331","SIUE","28","6-22","158","519"
"","Evansville","34","25-9","158","448"
"333","Dartmouth","28","10-18","156","458"
"334","Southeast Mo. St.","29","5-24","154","513"
"","Pepperdine","31","18-13","154","446"
"336","Georgia St.","30","16-14","149","436"
"","Texas St.","31","15-16","149","459"
"338","Presbyterian","31","11-20","148","502"
"339","Grambling","30","7-23","147","534"
"340","Howard","32","12-20","144","486"
"341","Old Dominion","35","22-13","143","475"
"342","Navy","33","19-14","141","469"
"343","South Fla.","33","8-25","133","465"
"","Ill.-Chicago","30","5-25","133","440"
"345","Prairie View","31","7-24","127","467"
"346","CSUN","30","10-20","126","425"
"NR","UMass Lowell","29","11-18","240","659"
"NR","Incarnate Word","29","17-12","234","621"
"NR","Northern Ky.","30","9-21","234","656"
"NR","Abilene Christian","31","13-18","209","570"
"NR","Grand Canyon","32","26-6","200","541"
