"Rank","Name","GM","W-L","AST"
"1","Michigan St.","34","29-5","699"
"2","North Carolina","34","28-6","616"
"3","SFA","32","27-5","605"
"4","Purdue","34","26-8","598"
"5","Evansville","34","25-9","595"
"6","UAB","32","26-6","591"
"7","Baylor","33","22-11","587"
"8","Sam Houston St.","34","18-16","575"
"9","Texas A&M","34","26-8","574"
"10","Milwaukee","33","20-13","566"
"11","UT Arlington","33","23-10","561"
"12","Marshall","33","17-16","554"
"13","Villanova","34","29-5","549"
"14","Lipscomb","33","12-21","548"
"15","North Florida","33","22-11","547"
"16","BYU","33","23-10","545"
"17","Kansas","34","30-4","542"
"18","Pittsburgh","32","21-11","541"
"19","St. Mary's (CA)","32","27-5","539"
"","Iona","32","22-10","539"
"21","Marquette","33","20-13","533"
"22","Belmont","31","20-11","532"
"","Utah","34","26-8","532"
"24","Richmond","32","16-16","531"
"","Stony Brook","32","26-6","531"
"26","Iowa St.","32","21-11","529"
"27","SMU","30","25-5","528"
"28","Portland St.","31","13-18","527"
"","Northwestern","32","20-12","527"
"","Toledo","32","17-15","527"
"31","Providence","33","23-10","525"
"32","Xavier","32","27-5","524"
"33","Arkansas","32","16-16","520"
"34","Stetson","34","12-22","519"
"35","UC Irvine","34","25-9","518"
"36","Long Beach St.","34","20-14","516"
"37","Saint Joseph's","34","27-7","514"
"38","UTEP","33","19-14","512"
"39","Indiana","32","25-7","511"
"40","Memphis","34","19-15","510"
"41","Michigan","34","22-12","509"
"42","LSU","33","19-14","507"
"43","Hawaii","32","27-5","504"
"44","IPFW","33","24-9","503"
"45","West Virginia","34","26-8","502"
"","UCLA","32","15-17","502"
"47","William & Mary","31","20-11","501"
"","CSU Bakersfield","32","24-8","501"
"49","Oakland","32","21-11","500"
"50","UNLV","33","18-15","499"
"51","Fairfield","32","19-13","498"
"","The Citadel","32","10-22","498"
"53","Akron","34","26-8","497"
"54","Duquesne","32","16-16","496"
"","Iowa","31","21-10","496"
"","Hofstra","33","24-9","496"
"57","Cincinnati","32","22-10","495"
"","Chattanooga","34","29-5","495"
"59","Eastern Ky.","31","15-16","494"
"60","Georgetown","33","15-18","492"
"","South Dakota","32","14-18","492"
"62","Southern California","33","21-12","491"
"","Mercer","33","19-14","491"
"","Creighton","32","18-14","491"
"65","Kentucky","34","26-8","490"
"66","Army West Point","32","19-13","489"
"67","NJIT","31","17-14","488"
"","Elon","32","16-16","488"
"","VCU","34","24-10","488"
"70","East Carolina","32","12-20","486"
"","Green Bay","35","23-12","486"
"72","Northeastern","33","18-15","485"
"73","USC Upstate","32","10-22","484"
"74","Loyola Marymount","31","14-17","482"
"","Davidson","32","20-12","482"
"76","Charlotte","33","14-19","481"
"77","High Point","31","21-10","479"
"","Arizona","33","25-8","479"
"79","Wright St.","35","22-13","478"
"","Vanderbilt","32","19-13","478"
"81","Lehigh","32","17-15","477"
"","Siena","33","21-12","477"
"83","Bucknell","30","17-13","475"
"84","Virginia","33","26-7","473"
"","UC Santa Barbara","31","18-13","473"
"","Austin Peay","35","18-17","473"
"87","La.-Monroe","33","20-13","472"
"","Ball St.","32","19-13","472"
"","Weber St.","34","26-8","472"
"","Southeastern La.","33","12-21","472"
"91","UConn","34","24-10","471"
"92","Dayton","32","25-7","470"
"","Wofford","32","15-17","470"
"94","Northern Ill.","33","21-12","469"
"","New Mexico St.","33","23-10","469"
"96","Fordham","30","17-13","468"
"97","Youngstown St.","32","11-21","467"
"98","Canisius","33","14-19","466"
"99","Maryland","33","25-8","465"
"","Oklahoma","32","25-7","465"
"101","Oregon","34","28-6","464"
"102","George Washington","33","23-10","463"
"","Western Ky.","34","18-16","463"
"104","Illinois","34","15-19","462"
"","Washington","32","18-14","462"
"106","Old Dominion","35","22-13","461"
"","New Mexico","32","17-15","461"
"108","Houston Baptist","33","17-16","460"
"","Vermont","34","21-13","460"
"110","UTRGV","30","8-22","459"
"","Holy Cross","33","14-19","459"
"","Wichita St.","32","24-8","459"
"113","Tennessee","34","15-19","458"
"","Texas Southern","32","18-14","458"
"","Kansas St.","33","17-16","458"
"","Gonzaga","33","26-7","458"
"","Fresno St.","34","25-9","458"
"118","Fairleigh Dickinson","32","18-14","456"
"119","Colorado St.","34","18-16","455"
"120","Colorado","33","22-11","454"
"","Utah St.","31","16-15","454"
"122","Harvard","30","14-16","452"
"123","Columbia","31","21-10","451"
"124","Syracuse","32","19-13","450"
"125","San Jose St.","31","9-22","449"
"126","Navy","33","19-14","448"
"","Ohio","32","21-11","448"
"128","Louisiana Tech","32","23-9","447"
"","Seton Hall","33","25-8","447"
"130","FGCU","33","20-13","446"
"131","Murray St.","31","17-14","445"
"","Duke","33","23-10","445"
"","Butler","31","21-10","445"
"134","Valparaiso","32","26-6","444"
"135","Denver","31","16-15","443"
"","Massachusetts","32","14-18","443"
"","Georgia Tech","33","19-14","443"
"138","Morehead St.","31","19-12","442"
"","Gardner-Webb","33","17-16","442"
"","Pepperdine","31","18-13","442"
"141","Omaha","31","18-13","441"
"142","Jackson St.","35","20-15","439"
"143","Manhattan","31","13-18","436"
"144","Utah Valley","30","12-18","435"
"","Samford","33","14-19","435"
"146","Boston U.","32","18-14","434"
"","Sacramento St.","31","14-17","434"
"","Wake Forest","31","11-20","434"
"149","Nicholls St.","34","11-23","433"
"","Temple","32","21-11","433"
"","Buffalo","34","20-14","433"
"","Little Rock","33","29-4","433"
"","Maine","30","8-22","433"
"","Northwestern St.","28","8-20","433"
"155","South Carolina St.","34","19-15","432"
"","Tennessee Tech","30","19-11","432"
"","LIU Brooklyn","31","16-15","432"
"158","Notre Dame","32","21-11","431"
"","Mississippi St.","31","14-17","431"
"","Montana","32","21-11","431"
"","Middle Tenn.","33","24-9","431"
"","Florida","33","19-14","431"
"163","Boise St.","32","20-12","430"
"164","California","33","23-10","428"
"","UNCW","32","25-7","428"
"166","Saint Louis","32","11-21","426"
"","Wagner","32","22-10","426"
"","Central Mich.","32","17-15","426"
"169","Tulsa","31","20-11","425"
"","Lamar","30","11-19","425"
"","Cal Poly","30","10-20","425"
"","Portland","32","12-20","425"
"","Yale","28","22-6","425"
"","Florida St.","32","19-13","425"
"175","UNCG","32","14-18","424"
"","Eastern Wash.","32","17-15","424"
"","South Carolina","32","24-8","424"
"178","North Dakota","32","17-15","423"
"","CSUN","30","10-20","423"
"180","Longwood","33","10-23","421"
"181","Rice","32","12-20","420"
"","Air Force","32","14-18","420"
"183","Louisville","31","23-8","419"
"","Liberty","32","13-19","419"
"","Princeton","28","22-6","419"
"","Washington St.","31","9-22","419"
"187","St. John's (NY)","32","8-24","418"
"","Oregon St.","31","19-12","418"
"189","Eastern Ill.","30","13-17","417"
"","Monmouth","34","27-7","417"
"","ETSU","34","23-11","417"
"192","Lafayette","30","6-24","416"
"","Rider","33","13-20","416"
"194","Bryant","31","8-23","415"
"195","Brown","28","8-20","414"
"196","Idaho","33","21-12","413"
"","Western Caro.","33","16-17","413"
"198","Ole Miss","32","20-12","412"
"199","UNC Asheville","33","22-11","411"
"","Clemson","31","17-14","411"
"201","Miami (FL)","32","25-7","410"
"","UC Riverside","33","14-19","410"
"","A&M-Corpus Christi","32","25-7","410"
"","Boston College","32","7-25","410"
"","Radford","31","16-15","410"
"206","St. Bonaventure","30","22-8","408"
"","Hartford","33","10-23","408"
"","New Orleans","30","10-20","408"
"","Detroit","31","16-15","408"
"210","James Madison","32","21-11","406"
"","UNI","34","22-12","406"
"","N.C. Central","32","13-19","406"
"213","Arizona St.","32","15-17","405"
"214","Texas Tech","31","19-12","404"
"","Furman","33","18-15","404"
"216","UMES","32","10-22","403"
"217","Jacksonville","32","16-16","402"
"","Illinois St.","32","18-14","402"
"","Virginia Tech","33","19-14","402"
"","Houston","31","22-9","402"
"221","Norfolk St.","33","17-16","401"
"222","UT Martin","33","19-14","400"
"","Robert Morris","32","10-22","400"
"224","Albany (NY)","32","24-8","399"
"225","Bowling Green","34","16-18","398"
"","Colgate","30","13-17","398"
"227","Nebraska","34","16-18","397"
"228","Georgia","32","19-13","396"
"229","UMBC","32","7-25","395"
"230","Seattle","30","14-16","393"
"231","Montana St.","31","14-17","392"
"","Nevada","32","19-13","392"
"","La.-Lafayette","31","17-14","392"
"234","Rhode Island","32","17-15","391"
"","FIU","32","13-19","391"
"236","Missouri St.","32","13-19","390"
"237","Oklahoma St.","32","12-20","389"
"238","La Salle","31","9-22","388"
"239","Fla. Atlantic","33","8-25","385"
"240","Drexel","31","6-25","384"
"241","North Carolina St.","33","16-17","383"
"","Oral Roberts","31","14-17","383"
"243","Santa Clara","31","11-20","382"
"","TCU","33","12-21","382"
"","Western Mich.","32","13-19","382"
"246","Arkansas St.","31","11-20","381"
"247","Penn","28","11-17","380"
"","Idaho St.","31","16-15","380"
"249","Eastern Mich.","33","18-15","379"
"","Minnesota","31","8-23","379"
"","Ohio St.","33","20-13","379"
"","UCF","30","12-18","379"
"","Charleston So.","30","9-21","379"
"","Kennesaw St.","31","11-20","379"
"255","Winthrop","32","23-9","378"
"","Drake","31","7-24","378"
"257","Jacksonville St.","31","8-23","377"
"","Rutgers","32","7-25","377"
"","Hampton","31","21-10","377"
"","Quinnipiac","30","9-21","377"
"261","Alabama St.","31","14-17","376"
"262","Chicago St.","32","4-28","375"
"","Kent St.","32","19-13","375"
"264","Northern Ariz.","30","5-25","372"
"","Bethune-Cookman","32","14-18","372"
"","Southern U.","34","22-12","372"
"","Wyoming","31","13-18","372"
"","Tulane","34","12-22","372"
"269","San Francisco","30","15-15","371"
"","Wisconsin","32","20-12","371"
"271","St. Francis Brooklyn","32","15-17","370"
"","Central Ark.","28","7-21","370"
"","Loyola Chicago","32","15-17","370"
"274","Southern Ill.","32","22-10","369"
"275","Dartmouth","28","10-18","368"
"276","Texas","32","20-12","367"
"","Delaware St.","32","7-25","367"
"","Alabama A&M","29","11-18","367"
"","New Hampshire","31","19-12","367"
"280","UTSA","32","5-27","366"
"","DePaul","31","9-22","366"
"","Texas St.","31","15-16","366"
"283","Col. of Charleston","31","17-14","364"
"","South Dakota St.","32","25-7","364"
"285","Missouri","31","10-21","363"
"","Sacred Heart","30","12-18","363"
"287","Pacific","28","8-20","362"
"","North Texas","32","12-20","362"
"289","Mt. St. Mary's","33","14-19","361"
"","Towson","32","20-12","361"
"","Western Ill.","27","10-17","361"
"292","San Diego St.","34","25-9","360"
"293","Mississippi Val.","34","7-27","359"
"294","Coastal Caro.","29","18-11","358"
"","Southeast Mo. St.","29","5-24","358"
"","Appalachian St.","31","9-22","358"
"297","Saint Peter's","30","14-16","357"
"298","Saint Francis (PA)","30","13-17","356"
"299","IUPUI","32","13-19","355"
"300","Southern Miss.","29","8-21","353"
"301","Georgia St.","30","16-14","352"
"","Auburn","31","11-20","352"
"303","Presbyterian","31","11-20","350"
"","South Ala.","33","14-19","350"
"","Stanford","30","15-15","350"
"","UMKC","31","12-19","350"
"","Marist","30","7-23","350"
"308","Troy","31","9-22","349"
"","Morgan St.","31","9-22","349"
"310","American","31","12-19","348"
"","Coppin St.","31","9-22","348"
"312","Ill.-Chicago","30","5-25","347"
"","Indiana St.","32","15-17","347"
"","Niagara","32","7-25","347"
"315","Campbell","30","12-18","345"
"","North Dakota St.","32","20-12","345"
"317","Ga. Southern","31","14-17","344"
"318","UC Davis","30","11-19","342"
"319","Central Conn. St.","29","4-25","341"
"320","N.C. A&T","32","10-22","339"
"321","Alabama","32","18-14","338"
"","Southern Utah","29","5-24","338"
"323","Loyola Maryland","30","9-21","337"
"324","Miami (OH)","33","13-20","336"
"325","Binghamton","30","8-22","333"
"326","South Fla.","33","8-25","331"
"","McNeese St.","29","9-20","331"
"328","VMI","30","9-21","330"
"329","San Diego","30","9-21","328"
"","George Mason","32","11-21","328"
"331","Cleveland St.","32","9-23","327"
"332","Savannah St.","31","16-15","323"
"333","Northern Colo.","31","10-21","322"
"","Penn St.","32","16-16","322"
"335","Florida A&M","29","8-21","319"
"","Delaware","30","7-23","319"
"337","Ark.-Pine Bluff","33","8-25","317"
"338","Tennessee St.","30","20-10","316"
"339","Cal St. Fullerton","30","10-20","304"
"340","SIUE","28","6-22","303"
"341","Cornell","28","10-18","302"
"342","Bradley","32","5-27","292"
"343","Grambling","30","7-23","289"
"344","Howard","32","12-20","275"
"345","Alcorn","30","15-15","272"
"346","Prairie View","31","7-24","269"
"NR","Grand Canyon","32","26-6","479"
"NR","Northern Ky.","30","9-21","439"
"NR","Incarnate Word","29","17-12","428"
"NR","UMass Lowell","29","11-18","426"
"NR","Abilene Christian","31","13-18","422"
