"Rank","Name","GM","W-L","ST"
"1","Green Bay","35","23-12","344"
"2","West Virginia","34","26-8","338"
"3","Eastern Mich.","33","18-15","312"
"4","UNC Asheville","33","22-11","307"
"5","A&M-Corpus Christi","32","25-7","303"
"6","VCU","34","24-10","299"
"7","Omaha","31","18-13","291"
"8","SFA","32","27-5","290"
"9","The Citadel","32","10-22","285"
"10","Monmouth","34","27-7","283"
"11","Fresno St.","34","25-9","280"
"12","Jackson St.","35","20-15","272"
"13","UNLV","33","18-15","266"
"14","Western Caro.","33","16-17","265"
"","Gardner-Webb","33","17-16","265"
"","Robert Morris","32","10-22","265"
"","Chattanooga","34","29-5","265"
"18","LSU","33","19-14","263"
"","Portland St.","31","13-18","263"
"20","Memphis","34","19-15","261"
"21","Baylor","33","22-11","260"
"22","Oregon","34","28-6","259"
"","Syracuse","32","19-13","259"
"24","Marquette","33","20-13","258"
"25","CSU Bakersfield","32","24-8","257"
"26","Southern U.","34","22-12","255"
"27","Cincinnati","32","22-10","254"
"28","New Orleans","30","10-20","252"
"","Fordham","30","17-13","252"
"","Hawaii","32","27-5","252"
"31","High Point","31","21-10","251"
"","North Dakota","32","17-15","251"
"33","Nebraska","34","16-18","250"
"34","Maine","30","8-22","249"
"","Kansas St.","33","17-16","249"
"36","Mt. St. Mary's","33","14-19","248"
"37","Chicago St.","32","4-28","246"
"","Morehead St.","31","19-12","246"
"39","Washington","32","18-14","245"
"40","Iona","32","22-10","242"
"","Ole Miss","32","20-12","242"
"","Austin Peay","35","18-17","242"
"43","Fairleigh Dickinson","32","18-14","241"
"","UNCW","32","25-7","241"
"","Northern Ill.","33","21-12","241"
"","UT Arlington","33","23-10","241"
"47","Seton Hall","33","25-8","240"
"48","Prairie View","31","7-24","239"
"49","LIU Brooklyn","31","16-15","238"
"","Manhattan","31","13-18","238"
"","Louisiana Tech","32","23-9","238"
"52","Arkansas","32","16-16","237"
"53","Mississippi Val.","34","7-27","236"
"","Buffalo","34","20-14","236"
"55","Texas A&M","34","26-8","235"
"","Ark.-Pine Bluff","33","8-25","235"
"57","North Carolina","34","28-6","234"
"","Xavier","32","27-5","234"
"59","Nevada","32","19-13","232"
"","Southern Ill.","32","22-10","232"
"","Ga. Southern","31","14-17","232"
"","Kansas","34","30-4","232"
"63","Oregon St.","31","19-12","231"
"","Tennessee St.","30","20-10","231"
"","Wichita St.","32","24-8","231"
"66","Florida St.","32","19-13","230"
"67","Nicholls St.","34","11-23","229"
"","ETSU","34","23-11","229"
"","Villanova","34","29-5","229"
"70","Samford","33","14-19","226"
"","Marshall","33","17-16","226"
"","Idaho St.","31","16-15","226"
"73","Lamar","30","11-19","225"
"74","UMBC","32","7-25","223"
"75","Col. of Charleston","31","17-14","222"
"","Louisville","31","23-8","222"
"","Indiana","32","25-7","222"
"","Valparaiso","32","26-6","222"
"79","Oklahoma","32","25-7","221"
"","South Ala.","33","14-19","221"
"","Hartford","33","10-23","221"
"","Wagner","32","22-10","221"
"","South Carolina","32","24-8","221"
"84","Long Beach St.","34","20-14","220"
"85","Youngstown St.","32","11-21","219"
"","BYU","33","23-10","219"
"","Providence","33","23-10","219"
"88","FGCU","33","20-13","218"
"","Southeast Mo. St.","29","5-24","218"
"","Miami (OH)","33","13-20","218"
"","Eastern Ky.","31","15-16","218"
"","Tulane","34","12-22","218"
"93","La Salle","31","9-22","217"
"","Cornell","28","10-18","217"
"95","Little Rock","33","29-4","216"
"","Kennesaw St.","31","11-20","216"
"97","Stetson","34","12-22","214"
"","Lehigh","32","17-15","214"
"","Campbell","30","12-18","214"
"100","IUPUI","32","13-19","213"
"","Holy Cross","33","14-19","213"
"","Detroit","31","16-15","213"
"","TCU","33","12-21","213"
"104","Albany (NY)","32","24-8","212"
"105","Southeastern La.","33","12-21","211"
"","Tulsa","31","20-11","211"
"","Loyola Marymount","31","14-17","211"
"","Iowa","31","21-10","211"
"","Duke","33","23-10","211"
"110","North Texas","32","12-20","210"
"","Butler","31","21-10","210"
"","Richmond","32","16-16","210"
"113","South Dakota","32","14-18","209"
"","Southern California","33","21-12","209"
"","Florida","33","19-14","209"
"","Bowling Green","34","16-18","209"
"","Boise St.","32","20-12","209"
"118","Portland","32","12-20","208"
"","Lipscomb","33","12-21","208"
"120","NJIT","31","17-14","207"
"","UAB","32","26-6","207"
"","Massachusetts","32","14-18","207"
"","Hofstra","33","24-9","207"
"","Jacksonville","32","16-16","207"
"","Fairfield","32","19-13","207"
"126","UTSA","32","5-27","206"
"","Presbyterian","31","11-20","206"
"128","Middle Tenn.","33","24-9","205"
"","Longwood","33","10-23","205"
"","Illinois St.","32","18-14","205"
"131","Rice","32","12-20","204"
"","Charlotte","33","14-19","204"
"133","CSUN","30","10-20","203"
"","Stanford","30","15-15","203"
"135","Mississippi St.","31","14-17","202"
"","Siena","33","21-12","202"
"","St. John's (NY)","32","8-24","202"
"","Northeastern","33","18-15","202"
"139","La.-Lafayette","31","17-14","201"
"","Old Dominion","35","22-13","201"
"141","Howard","32","12-20","200"
"","Georgia St.","30","16-14","200"
"143","Towson","32","20-12","199"
"","Missouri St.","32","13-19","199"
"","Canisius","33","14-19","199"
"","Princeton","28","22-6","199"
"","Furman","33","18-15","199"
"","Illinois","34","15-19","199"
"149","Denver","31","16-15","198"
"","Stony Brook","32","26-6","198"
"","George Washington","33","23-10","198"
"","Columbia","31","21-10","198"
"153","Bethune-Cookman","32","14-18","197"
"","Iowa St.","32","21-11","197"
"","UTEP","33","19-14","197"
"","Bucknell","30","17-13","197"
"157","Grambling","30","7-23","196"
"","Air Force","32","14-18","196"
"","Cleveland St.","32","9-23","196"
"","North Dakota St.","32","20-12","196"
"161","Creighton","32","18-14","195"
"","Rutgers","32","7-25","195"
"","Eastern Wash.","32","17-15","195"
"164","UNCG","32","14-18","194"
"","UConn","34","24-10","194"
"","Miami (FL)","32","25-7","194"
"167","UNI","34","22-12","193"
"","Dartmouth","28","10-18","193"
"","Wright St.","35","22-13","193"
"170","San Diego St.","34","25-9","192"
"","Maryland","33","25-8","192"
"","Florida A&M","29","8-21","192"
"173","UT Martin","33","19-14","191"
"","Kentucky","34","26-8","191"
"","St. Francis Brooklyn","32","15-17","191"
"176","Sacred Heart","30","12-18","190"
"","Oakland","32","21-11","190"
"","Texas St.","31","15-16","190"
"179","UC Santa Barbara","31","18-13","189"
"","UC Irvine","34","25-9","189"
"","Dayton","32","25-7","189"
"","Loyola Chicago","32","15-17","189"
"","Rider","33","13-20","189"
"184","Sam Houston St.","34","18-16","188"
"","Morgan St.","31","9-22","188"
"","Michigan","34","22-12","188"
"","UMES","32","10-22","188"
"","Wisconsin","32","20-12","188"
"","Navy","33","19-14","188"
"","Savannah St.","31","16-15","188"
"191","Vermont","34","21-13","187"
"","Norfolk St.","33","17-16","187"
"193","Murray St.","31","17-14","186"
"","UC Davis","30","11-19","186"
"","Northern Ariz.","30","5-25","186"
"","N.C. Central","32","13-19","186"
"","San Jose St.","31","9-22","186"
"","Houston","31","22-9","186"
"199","Troy","31","9-22","185"
"200","VMI","30","9-21","184"
"","Wake Forest","31","11-20","184"
"","Indiana St.","32","15-17","184"
"","Colgate","30","13-17","184"
"","Akron","34","26-8","184"
"205","Utah","34","26-8","183"
"","Western Mich.","32","13-19","183"
"","Ohio St.","33","20-13","183"
"","East Carolina","32","12-20","183"
"","Boston U.","32","18-14","183"
"","Radford","31","16-15","183"
"211","Seattle","30","14-16","182"
"","La.-Monroe","33","20-13","182"
"","Texas Tech","31","19-12","182"
"","SMU","30","25-5","182"
"215","UMKC","31","12-19","181"
"","Virginia","33","26-7","181"
"","IPFW","33","24-9","181"
"","Boston College","32","7-25","181"
"","Alabama St.","31","14-17","181"
"220","New Mexico","32","17-15","180"
"","Tennessee","34","15-19","180"
"","Alabama","32","18-14","180"
"","Georgetown","33","15-18","180"
"224","Oklahoma St.","32","12-20","179"
"","Clemson","31","17-14","179"
"","Pepperdine","31","18-13","179"
"","Notre Dame","32","21-11","179"
"228","Northern Colo.","31","10-21","178"
"","Evansville","34","25-9","178"
"","Virginia Tech","33","19-14","178"
"","Houston Baptist","33","17-16","178"
"","Liberty","32","13-19","178"
"","Ball St.","32","19-13","178"
"234","Eastern Ill.","30","13-17","177"
"","St. Bonaventure","30","22-8","177"
"236","American","31","12-19","176"
"","Elon","32","16-16","176"
"","Utah Valley","30","12-18","176"
"","Bryant","31","8-23","176"
"240","USC Upstate","32","10-22","175"
"","Saint Joseph's","34","27-7","175"
"","Saint Louis","32","11-21","175"
"","Sacramento St.","31","14-17","175"
"","UCLA","32","15-17","175"
"","Fla. Atlantic","33","8-25","175"
"246","Winthrop","32","23-9","174"
"","Coppin St.","31","9-22","174"
"","Northwestern St.","28","8-20","174"
"249","North Florida","33","22-11","173"
"","Idaho","33","21-12","173"
"","Delaware St.","32","7-25","173"
"","Coastal Caro.","29","18-11","173"
"253","Colorado","33","22-11","172"
"254","William & Mary","31","20-11","171"
"","Lafayette","30","6-24","171"
"","Temple","32","21-11","171"
"","McNeese St.","29","9-20","171"
"258","Utah St.","31","16-15","170"
"","Minnesota","31","8-23","170"
"","UC Riverside","33","14-19","170"
"","Arizona St.","32","15-17","170"
"","Rhode Island","32","17-15","170"
"263","Weber St.","34","26-8","169"
"","Kent St.","32","19-13","169"
"","Montana","32","21-11","169"
"","Missouri","31","10-21","169"
"267","Ill.-Chicago","30","5-25","168"
"","Hampton","31","21-10","168"
"269","Toledo","32","17-15","167"
"","Gonzaga","33","26-7","167"
"","Saint Peter's","30","14-16","167"
"","Mercer","33","19-14","167"
"273","Auburn","31","11-20","166"
"","Penn St.","32","16-16","166"
"275","Niagara","32","7-25","165"
"","Texas","32","20-12","165"
"277","Western Ill.","27","10-17","163"
"","Wofford","32","15-17","163"
"","Cal Poly","30","10-20","163"
"","Alabama A&M","29","11-18","163"
"","Southern Utah","29","5-24","163"
"282","Yale","28","22-6","162"
"","Loyola Maryland","30","9-21","162"
"","N.C. A&T","32","10-22","162"
"","FIU","32","13-19","162"
"","San Francisco","30","15-15","162"
"","Arizona","33","25-8","162"
"","Oral Roberts","31","14-17","162"
"289","Binghamton","30","8-22","161"
"290","South Dakota St.","32","25-7","160"
"","Army West Point","32","19-13","160"
"292","Pittsburgh","32","21-11","159"
"293","Jacksonville St.","31","8-23","158"
"","Tennessee Tech","30","19-11","158"
"295","Arkansas St.","31","11-20","157"
"296","Washington St.","31","9-22","156"
"","St. Mary's (CA)","32","27-5","156"
"","Georgia","32","19-13","156"
"","Southern Miss.","29","8-21","156"
"","South Carolina St.","34","19-15","156"
"301","Duquesne","32","16-16","153"
"","Charleston So.","30","9-21","153"
"303","Central Mich.","32","17-15","152"
"","Central Ark.","28","7-21","152"
"305","Western Ky.","34","18-16","151"
"306","Michigan St.","34","29-5","150"
"","South Fla.","33","8-25","150"
"","Brown","28","8-20","150"
"","Harvard","30","14-16","150"
"","DePaul","31","9-22","150"
"","Georgia Tech","33","19-14","150"
"","Davidson","32","20-12","150"
"313","Milwaukee","33","20-13","149"
"","North Carolina St.","33","16-17","149"
"","Montana St.","31","14-17","149"
"316","Cal St. Fullerton","30","10-20","148"
"317","Quinnipiac","30","9-21","146"
"","Penn","28","11-17","146"
"319","Purdue","34","26-8","145"
"320","Texas Southern","32","18-14","143"
"","Bradley","32","5-27","143"
"","UTRGV","30","8-22","143"
"323","Drexel","31","6-25","141"
"324","Saint Francis (PA)","30","13-17","140"
"","Belmont","31","20-11","140"
"326","James Madison","32","21-11","139"
"","San Diego","30","9-21","139"
"328","Vanderbilt","32","19-13","138"
"","SIUE","28","6-22","138"
"","Ohio","32","21-11","138"
"","Marist","30","7-23","138"
"332","UCF","30","12-18","137"
"333","California","33","23-10","136"
"","New Mexico St.","33","23-10","136"
"335","Alcorn","30","15-15","134"
"","Santa Clara","31","11-20","134"
"337","Colorado St.","34","18-16","131"
"338","Central Conn. St.","29","4-25","127"
"","Appalachian St.","31","9-22","127"
"340","Wyoming","31","13-18","126"
"341","Pacific","28","8-20","125"
"342","Northwestern","32","20-12","124"
"343","New Hampshire","31","19-12","123"
"344","Drake","31","7-24","116"
"345","Delaware","30","7-23","108"
"346","George Mason","32","11-21","92"
"NR","Abilene Christian","31","13-18","233"
"NR","UMass Lowell","29","11-18","205"
"NR","Incarnate Word","29","17-12","200"
"NR","Grand Canyon","32","26-6","196"
"NR","Northern Ky.","30","9-21","142"
